plant_id,type
AGPA12,Forb/herb
AGPAB,Forb/herb
AGPAP3,Forb/herb
AGPL,Forb/herb
AGPU4,Forb/herb
AGPU5,Forb/herb
AGSE3,Forb/herb
AGSK,Forb/herb
AGST4,Forb/herb
AGTE3,Forb/herb
AGTEL,Forb/herb
AGTEM,Forb/herb
AGTEP2,Forb/herb
AGTEP3,Forb/herb
AGTET,Forb/herb
AGVI5,Forb/herb
AGPR5,Forb/herb
AGBR,"Subshrub, Forb/herb"
AGCA,"Subshrub, Forb/herb"
AGCU,"Subshrub, Forb/herb"
AGFO,"Subshrub, Forb/herb"
AGME2,"Subshrub, Forb/herb"
AGMI,"Subshrub, Forb/herb"
AGNE2,"Subshrub, Forb/herb"
AGOC,"Subshrub, Forb/herb"
AGPA11,"Subshrub, Forb/herb"
AGPA,"Subshrub, Forb/herb"
AGPAN,"Subshrub, Forb/herb"
AGPAH3,"Subshrub, Forb/herb"
AGPAN2,"Subshrub, Forb/herb"
AGPAP2,"Subshrub, Forb/herb"
AGPAG3,"Subshrub, Forb/herb"
AGPAG4,"Subshrub, Forb/herb"
AGPAP4,"Subshrub, Forb/herb"
AGPA2,"Subshrub, Forb/herb"
AGPR3,"Subshrub, Forb/herb"
AGPRV,"Subshrub, Forb/herb"
AGRU,"Subshrub, Forb/herb"
AGSC,"Subshrub, Forb/herb"
AGUR,"Subshrub, Forb/herb"
AGURG,"Subshrub, Forb/herb"
AGURU,"Subshrub, Forb/herb"
AGWR,"Subshrub, Forb/herb"
AGAJ,"Forb/herb, Shrub, Subshrub"
AGAM,"Subshrub, Shrub, Forb/herb"
AGAMA,"Subshrub, Shrub, Forb/herb"
AGAMA2,"Subshrub, Shrub, Forb/herb"
AGAME,"Subshrub, Shrub, Forb/herb"
AGAMP,"Subshrub, Shrub, Forb/herb"
AGAR8,"Forb/herb, Shrub, Subshrub"
AGAS3,"Shrub, Forb/herb, Subshrub"
AGCH2,"Subshrub, Shrub, Forb/herb"
AGDE3,"Subshrub, Shrub, Forb/herb"
AGDE10,"Forb/herb, Shrub, Subshrub"
AGDE,"Subshrub, Shrub, Forb/herb"
AGDED,"Subshrub, Shrub, Forb/herb"
AGDES,"Subshrub, Shrub, Forb/herb"
AGDE4,"Subshrub, Shrub, Forb/herb"
AGGL2,"Subshrub, Shrub, Forb/herb"
AGGR4,"Subshrub, Shrub, Forb/herb"
AGHA,"Subshrub, Shrub, Forb/herb"
