plant_id,type
BAPE,Forb/herb
BASC4,Forb/herb
BAMU,Forb/herb
BAPA,Forb/herb
BAPL3,Forb/herb
BARA,Forb/herb
BAAN3,Forb/herb
BAAT,Forb/herb
BAUN,Forb/herb
BANI,Forb/herb
BANIA,Forb/herb
BANIF2,Forb/herb
BANIN,Forb/herb
BABO,Forb/herb
BACA3,Forb/herb
BACAC,Forb/herb
BACAI,Forb/herb
BADE2,Forb/herb
BAHO,Forb/herb
BAHOH,Forb/herb
BAHOH2,Forb/herb
BAHOH3,Forb/herb
BAHOI,Forb/herb
BAHOL,Forb/herb
BAHON,Forb/herb
BAIN,Forb/herb
BALA8,Forb/herb
BAMA3,Forb/herb
BAMAM,Forb/herb
BAMAP,Forb/herb
BAMA4,Forb/herb
BARO2,Forb/herb
BASA3,Forb/herb
BASE4,Forb/herb
BASE2,Forb/herb
BATE3,Forb/herb
BATO2,Forb/herb
BARE2,Forb/herb
BAAL,Forb/herb
BAALA,Forb/herb
BAALM,Forb/herb
BAAL3,Forb/herb
BAAR,Forb/herb
BAAU,Forb/herb
BAAUA2,Forb/herb
BAAUA,Forb/herb
BAAUM,Forb/herb
BABI4,Forb/herb
BABR2,Forb/herb
BABRB,Forb/herb
BABRL,Forb/herb
BABRL2,Forb/herb
BABU,Forb/herb
BACA4,Forb/herb
BACAC2,Forb/herb
BACAV,Forb/herb
BACI,Forb/herb
BAFU,Forb/herb
BALA3,Forb/herb
BALAL,Forb/herb
BALAT,Forb/herb
BALE4,Forb/herb
BAME,Forb/herb
BAMI3,Forb/herb
BANU2,Forb/herb
BAPE3,Forb/herb
BASE3,Forb/herb
BASI,Forb/herb
BASP,Forb/herb
BASU,Forb/herb
BATI,Forb/herb
BAVA5,Forb/herb
BAOR,Forb/herb
BAVE,Forb/herb
BAVU,Forb/herb
BACR,"Subshrub, Forb/herb"
BASC,Forb/herb
BAPA2,"Vine, Forb/herb"
BAPAI,"Vine, Forb/herb"
BAPAP,"Vine, Forb/herb"
BATE2,Forb/herb
BAVE2,Forb/herb
BAVI3,Forb/herb
BAAL2,"Vine, Forb/herb"
BACO2,Forb/herb
BACA21,"Forb/herb, Subshrub"
BAHI3,Forb/herb
BAHY,Forb/herb
BASC5,Forb/herb
BAVI4,"Subshrub, Shrub, Forb/herb"
BAVIV,"Forb/herb, Shrub, Subshrub"
BECU,Forb/herb
BEHI2,Forb/herb
BERE2,Forb/herb
BECH,Forb/herb
BETR,Forb/herb
BEPE2,Forb/herb
BECO5,Forb/herb
BEHI3,"Vine, Forb/herb"
BEOC,Forb/herb
BEOR,Forb/herb
BETE,Forb/herb
BEHE,Forb/herb
BEBE4,"Forb/herb, Shrub, Subshrub"
BEHU,Forb/herb
BELY,Forb/herb
BEPU2,"Subshrub, Forb/herb"
BEPUP3,"Forb/herb, Subshrub"
BEPUS,"Forb/herb, Subshrub"
BESU,Forb/herb
BEIN2,Forb/herb
BEMU,Forb/herb
BEER,Forb/herb
BEAL,Forb/herb
BEAR,Forb/herb
BEBU,Forb/herb
BEOB2,Forb/herb
BEPL,Forb/herb
BERI,Forb/herb
BERU,Forb/herb
BEWY,Forb/herb
BEPR,Forb/herb
BEVU2,Forb/herb
BIAL,Forb/herb
BIALR,Forb/herb
BIAM3,"Subshrub, Forb/herb"
BIAR,Forb/herb
BIAS3,"Subshrub, Forb/herb"
BIAU,Forb/herb
BIBE2,Forb/herb
BIBI3,Forb/herb
BIBI,Forb/herb
BIBIA,Forb/herb
BIBIB2,Forb/herb
BIBI7,Forb/herb
BICA2,"Subshrub, Forb/herb"
BICAC,"Subshrub, Forb/herb"
BICAP,"Subshrub, Forb/herb"
BICAW,"Subshrub, Forb/herb"
BICE,Forb/herb
BICE2,"Subshrub, Forb/herb"
BICO4,"Subshrub, Forb/herb"
BICO5,Forb/herb
BICO,Forb/herb
BICO6,"Vine, Forb/herb"
BICU,Forb/herb
BICY,Forb/herb
BIDI,Forb/herb
BIEA,Forb/herb
BIFE2,Forb/herb
BIFO,"Subshrub, Forb/herb"
BIFOF,"Subshrub, Forb/herb"
BIFOK,"Subshrub, Forb/herb"
BIFR,Forb/herb
BIGA,Forb/herb
BIHA,"Subshrub, Forb/herb"
BIHE2,Forb/herb
BIHE,Forb/herb
BIHI,"Subshrub, Forb/herb"
BIHIH,"Subshrub, Forb/herb"
BIHIP,"Subshrub, Forb/herb"
BIHY,Forb/herb
BIHYH,Forb/herb
BIHYS,Forb/herb
BILA,Forb/herb
BILE2,Forb/herb
BILE,Forb/herb
BIMA,"Subshrub, Forb/herb"
BIMA4,Forb/herb
BIMI2,"Subshrub, Forb/herb"
BIMIC2,"Subshrub, Forb/herb"
BIMIK2,"Subshrub, Forb/herb"
BIMIM,"Subshrub, Forb/herb"
BIMI,Forb/herb
BIMO,Forb/herb
BIMU,Forb/herb
BIPI,Forb/herb
BIPO2,"Subshrub, Forb/herb"
BISA2,"Subshrub, Forb/herb"
BISAC,"Subshrub, Forb/herb"
BISAS2,"Subshrub, Forb/herb"
BITE,Forb/herb
BITO,"Subshrub, Forb/herb"
BITR,Forb/herb
BIVA,"Subshrub, Forb/herb"
BIVU,Forb/herb
BIWI,"Subshrub, Forb/herb"
BIAM2,Forb/herb
BIRA,Forb/herb
BITE3,Forb/herb
BINU,"Subshrub, Forb/herb"
BINUA,"Subshrub, Forb/herb"
BINUN,"Subshrub, Forb/herb"
BINU2,Forb/herb
BIPY,Forb/herb
BIBI4,"Subshrub, Forb/herb"
BLAP,Forb/herb
BLOC,Forb/herb
BLSE,Forb/herb
BLSP,Forb/herb
BLBA,Forb/herb
BLNA,Forb/herb
BLNAN,Forb/herb
BLNAR,Forb/herb
BLSC,Forb/herb
BLSCL,Forb/herb
BLSCS,Forb/herb
BLLA4,Forb/herb
BLPL,Forb/herb
BLPLP,Forb/herb
BLPLV,Forb/herb
BLCI,Forb/herb
BLHI,Forb/herb
BLHIG,Forb/herb
BLHIH,Forb/herb
BLSU,Forb/herb
BLFL,Forb/herb
BLPA,Forb/herb
BLPAP,Forb/herb
BLPU,Forb/herb
BLST,Forb/herb
BLCR,Forb/herb
BLCRA,Forb/herb
BLCRC,Forb/herb
BLCRM,Forb/herb
BLHU,Forb/herb
BLLA,Forb/herb
BLSE2,Forb/herb
BLVI,Forb/herb
BLVE,Forb/herb
BLAU,Forb/herb
BOCY,Forb/herb
BONI2,"Subshrub, Forb/herb"
BOAC3,Forb/herb
BOAN,Forb/herb
BOCO,Forb/herb
BOCO2,Forb/herb
BODI3,Forb/herb
BOER,Forb/herb
BOGR,"Subshrub, Forb/herb"
BOHE2,Forb/herb
BOIN,Forb/herb
BOLI2,"Subshrub, Shrub, Forb/herb"
BOMA5,Forb/herb
BOME,Forb/herb
BOPT,Forb/herb
BOPU,Forb/herb
BORE4,Forb/herb
BOSC,"Vine, Forb/herb"
BOSP,Forb/herb
BOTR,Forb/herb
BOWR,Forb/herb
BOCA,Forb/herb
BOOR,Forb/herb
BOAP,Forb/herb
BOAS,Forb/herb
BOASA,Forb/herb
BOASL,Forb/herb
BOASR,Forb/herb
BOCA2,Forb/herb
BODE2,Forb/herb
BODI,Forb/herb
BODID,Forb/herb
BODII,Forb/herb
BOMO4,Forb/herb
BOHI,Forb/herb
BOGR5,"Vine, Forb/herb"
BOOV2,"Subshrub, Forb/herb"
BORE9,"Subshrub, Forb/herb"
BOOF,Forb/herb
BOHO,Forb/herb
BORO,Forb/herb
BOST2,Forb/herb
BOTE4,Forb/herb
BOAC2,Forb/herb
BOAL7,Forb/herb
BOAS2,Forb/herb
BOBI,Forb/herb
BOCA5,Forb/herb
BOCR,Forb/herb
BODI2,Forb/herb
BOEC,Forb/herb
BOGA2,Forb/herb
BOHE5,Forb/herb
BOJE,Forb/herb
BOLA,Forb/herb
BOLAA2,Forb/herb
BOLAL,Forb/herb
BOLI7,Forb/herb
BOLU,Forb/herb
BOLU2,Forb/herb
BOMA2,Forb/herb
BOMI,Forb/herb
BOMO,Forb/herb
BOMO2,Forb/herb
BOMU,Forb/herb
BOON,Forb/herb
BOPA12,Forb/herb
BOPA9,Forb/herb
BOPE4,Forb/herb
BOPI,Forb/herb
BOPS,Forb/herb
BOPU2,Forb/herb
BORO6,Forb/herb
BORU,Forb/herb
BOSI,Forb/herb
BOSP4,Forb/herb
BOTU3,Forb/herb
BOVI,Forb/herb
BOYA,Forb/herb
BOPR,Forb/herb
BOER3,Forb/herb
BOIN3,Forb/herb
BOAC,Forb/herb
BOIN4,Forb/herb
BOMA3,Forb/herb
BOOC2,Forb/herb
BORI2,Forb/herb
BORO3,Forb/herb
BRWR,"Subshrub, Forb/herb"
BRBR15,Forb/herb
BRBI,"Vine, Forb/herb"
BRSC,Forb/herb
BRCA7,Forb/herb
BREL2,Forb/herb
BRFR3,Forb/herb
BRJU,Forb/herb
BRNA,Forb/herb
BRNAN2,Forb/herb
BRNI,Forb/herb
BROL,Forb/herb
BRRA,Forb/herb
BRRAA,Forb/herb
BRRAR,Forb/herb
BRRAS3,Forb/herb
BRTO,Forb/herb
BRGL,Forb/herb
BRGLG,Forb/herb
BRGLP,Forb/herb
BRAR,Forb/herb
BREN,Forb/herb
BRTR,Forb/herb
BRTRP,Forb/herb
BRTRT2,Forb/herb
BRAM3,"Subshrub, Forb/herb"
BRAMA,"Subshrub, Forb/herb"
BRAML,"Subshrub, Forb/herb"
BRBE,Forb/herb
BRBR2,"Subshrub, Forb/herb"
BRCO7,"Subshrub, Forb/herb"
BRCO8,"Subshrub, Forb/herb"
BRCY,"Subshrub, Forb/herb"
BREU,"Subshrub, Forb/herb"
BREUC2,"Subshrub, Forb/herb"
BREUC,"Subshrub, Forb/herb"
BREUE,"Subshrub, Forb/herb"
BREUF,"Subshrub, Forb/herb"
BREUG,"Subshrub, Forb/herb"
BREUT,"Subshrub, Forb/herb"
BRFL,"Subshrub, Forb/herb"
BRGR,"Subshrub, Forb/herb"
BRGR2,"Subshrub, Forb/herb"
BRHI4,"Forb/herb, Subshrub"
BRHIH,"Forb/herb, Subshrub"
BRHIT,"Forb/herb, Subshrub"
BRLE,"Subshrub, Forb/herb"
BRLEL,"Subshrub, Forb/herb"
BRLEW,"Subshrub, Forb/herb"
BROB,"Subshrub, Shrub, Forb/herb"
BROBL,"Subshrub, Shrub, Forb/herb"
BROBO,"Subshrub, Shrub, Forb/herb"
BRPA,"Subshrub, Forb/herb"
BRPR,"Subshrub, Forb/herb"
BRRU,"Subshrub, Forb/herb"
BRSI2,"Subshrub, Forb/herb"
BRVE,"Subshrub, Forb/herb"
BRVE2,"Subshrub, Shrub, Forb/herb"
BRVEP,"Subshrub, Shrub, Forb/herb"
BRVEV,"Subshrub, Shrub, Forb/herb"
BRFE2,"Forb/herb, Subshrub"
BRAP,Forb/herb
BRCA4,Forb/herb
BRCAC9,Forb/herb
BRCAL3,Forb/herb
BRCO3,Forb/herb
BRCOC,Forb/herb
BRCOR2,Forb/herb
BREL,Forb/herb
BRELE,Forb/herb
BRELH,Forb/herb
BRFI,Forb/herb
BRIN5,Forb/herb
BRJO,Forb/herb
BRKI,Forb/herb
BRMA7,Forb/herb
BRMI3,Forb/herb
BRNA4,Forb/herb
BROR,Forb/herb
BRPA2,Forb/herb
BRSA,Forb/herb
BRST,Forb/herb
BRTE4,Forb/herb
BRTEK,Forb/herb
BRTET,Forb/herb
BRPI4,Forb/herb
BRAM,Forb/herb
BREL5,Forb/herb
BRMA11,Forb/herb
BRAL4,"Vine, Forb/herb"
BRCR2,"Vine, Forb/herb"
BRDI5,"Forb/herb, Vine"
BUAM,Forb/herb
BULO,Forb/herb
BUOB3,Forb/herb
BUPU,Forb/herb
BUAR3,Forb/herb
BUPA2,Forb/herb
BUER,Forb/herb
BUOR,Forb/herb
BUAM2,Forb/herb
BULA3,Forb/herb
BUOD2,Forb/herb
BURO,Forb/herb
BUBI,Forb/herb
BUCA3,Forb/herb
BUFL2,Forb/herb
BUUM,Forb/herb
CACA,Forb/herb
CACAC4,Forb/herb
CACAP,Forb/herb
CAHA26,Forb/herb
CAPA40,Forb/herb
CANA5,Forb/herb
CACO25,Forb/herb
CAED,Forb/herb
CAEDE,Forb/herb
CAEDE2,Forb/herb
CAEDL2,Forb/herb
CAEDH,Forb/herb
CAGE4,"Subshrub, Forb/herb"
CALA2,"Subshrub, Forb/herb"
CALAF,"Subshrub, Forb/herb"
CALAL2,"Subshrub, Forb/herb"
CALAP,"Subshrub, Forb/herb"
CAMA,Forb/herb
CABI11,Forb/herb
CANE17,"Subshrub, Forb/herb"
CANEG,"Subshrub, Forb/herb"
CANEN,"Subshrub, Forb/herb"
CASY6,Forb/herb
CASYA,Forb/herb
CABR3,Forb/herb
CACI2,Forb/herb
CACR19,Forb/herb
CAAR,Forb/herb
CAOF,Forb/herb
CAIR,Forb/herb
CAPA47,Forb/herb
CAPA,Forb/herb
CAHU,"Subshrub, Forb/herb"
CAHUH,"Subshrub, Forb/herb"
CAHUR,"Subshrub, Forb/herb"
CAAL,Forb/herb
CABU8,Forb/herb
CADI2,Forb/herb
CAIN2,Forb/herb
CAINI4,Forb/herb
CAINL,Forb/herb
CALE2,Forb/herb
CAPA2,Forb/herb
CAPE23,Forb/herb
CASC4,Forb/herb
CATR,Forb/herb
CACO19,Forb/herb
CAFR6,Forb/herb
CAGR25,Forb/herb
CAMI25,Forb/herb
CAOR10,Forb/herb
CARE8,Forb/herb
CARO18,Forb/herb
CACH25,Forb/herb
CAFA3,Forb/herb
CAHE2,Forb/herb
CAHE3,Forb/herb
CAHEB3,Forb/herb
CAHEH,Forb/herb
CALO2,Forb/herb
CAMA3,Forb/herb
CAPA52,Forb/herb
CAPE44,Forb/herb
CAPE16,Forb/herb
CAST,Forb/herb
CAST11,Forb/herb
CATE19,Forb/herb
CATR2,Forb/herb
CAAL2,Forb/herb
CAAM3,Forb/herb
CAAM4,Forb/herb
CAAM5,Forb/herb
CAAP,Forb/herb
CAAR44,Forb/herb
CAAU8,Forb/herb
CABR4,Forb/herb
CACA5,Forb/herb
CACL,Forb/herb
CACLA,Forb/herb
CACLC2,Forb/herb
CACLG,Forb/herb
CACLP4,Forb/herb
CACLR3,Forb/herb
CACO3,Forb/herb
CACO4,Forb/herb
CACO41,Forb/herb
CADU,Forb/herb
CAEL,Forb/herb
CAELE,Forb/herb
CAELN,Forb/herb
CAELO,Forb/herb
CAELS,Forb/herb
CAEU,Forb/herb
CAEX2,Forb/herb
CAFL,"Vine, Forb/herb"
CAGR,Forb/herb
CAGU,Forb/herb
CAGUG,Forb/herb
CAGUP,Forb/herb
CAHO11,Forb/herb
CAIN18,Forb/herb
CAIN3,Forb/herb
CAKE,"Forb/herb, Vine"
CAKEK2,"Forb/herb, Vine"
CAKEM,"Forb/herb, Vine"
CALE3,Forb/herb
CALO3,Forb/herb
CALOL,Forb/herb
CALOP4,Forb/herb
CALU9,Forb/herb
CALY,Forb/herb
CAMA5,Forb/herb
CAMAM9,Forb/herb
CAMAM,Forb/herb
CAMI,Forb/herb
CAMO2,Forb/herb
CAMO3,Forb/herb
CANI,Forb/herb
CANU2,Forb/herb
CANU3,Forb/herb
CAOB,Forb/herb
CAPA3,Forb/herb
CAPAM,Forb/herb
CAPAP4,Forb/herb
CAPA45,Forb/herb
CAPE,Forb/herb
CAPL2,Forb/herb
CAPU2,Forb/herb
CARA16,Forb/herb
CASI7,Forb/herb
CASP,Forb/herb
CAST2,Forb/herb
CASU2,Forb/herb
CASU3,Forb/herb
CASY7,Forb/herb
CATI3,Forb/herb
CATO,Forb/herb
CAUM,Forb/herb
CAUM5,Forb/herb
CAUN,Forb/herb
CAVE3,Forb/herb
CAVE4,Forb/herb
CAWE,Forb/herb
CAWEI,Forb/herb
CAWEV,Forb/herb
CAWEW,Forb/herb
CAWE2,Forb/herb
CABA,Forb/herb
CAMU10,Forb/herb
CAOK2,Forb/herb
CAPA4,Forb/herb
CATU5,Forb/herb
CATUS,Forb/herb
CATUT,Forb/herb
CACU22,Forb/herb
CAPR,"Tree, Shrub, Forb/herb"
CALE4,Forb/herb
CALEH2,Forb/herb
CALEL7,Forb/herb
CALEL8,Forb/herb
CALES4,Forb/herb
CANA,Forb/herb
CAPA5,Forb/herb
CAPAP6,Forb/herb
CAPAR3,Forb/herb
CAFR,Forb/herb
CAHO18,Forb/herb
CAMI53,Forb/herb
CAMO4,Forb/herb
CAMU3,Forb/herb
CAOP,Forb/herb
CAPA6,Forb/herb
CASP2,Forb/herb
CATR3,Forb/herb
CATRM,Forb/herb
CATRS,Forb/herb
CATRT,Forb/herb
CAVI,Forb/herb
CABA22,Forb/herb
CAPA7,Forb/herb
CAWR,Forb/herb
CACO72,Forb/herb
CABE6,"Subshrub, Forb/herb"
CABEB2,"Subshrub, Forb/herb"
CABEP2,"Subshrub, Forb/herb"
CAHA14,"Subshrub, Forb/herb"
CAHAF,"Subshrub, Forb/herb"
CAHAF2,"Subshrub, Forb/herb"
CAHAH,"Subshrub, Forb/herb"
CAHAM,"Subshrub, Forb/herb"
CAHAP,"Subshrub, Forb/herb"
CALA38,"Subshrub, Forb/herb"
CASE12,"Subshrub, Forb/herb"
CATO12,"Subshrub, Forb/herb"
CATU6,"Subshrub, Forb/herb"
CABU,Forb/herb
CABUA,Forb/herb
CABUO,Forb/herb
CAVI2,Forb/herb
CAAT9,Forb/herb
CAATA,Forb/herb
CAATB,Forb/herb
CACA101,"Forb/herb, Vine"
CACO35,"Vine, Forb/herb"
CACOC2,"Vine, Forb/herb"
CACOO,"Vine, Forb/herb"
CACOT,"Vine, Forb/herb"
CACOV,"Vine, Forb/herb"
CAFE11,"Vine, Forb/herb"
CAHE21,"Vine, Forb/herb"
CALO12,"Vine, Forb/herb"
CAMA23,"Vine, Forb/herb"
CAMA24,"Vine, Forb/herb"
CAMAA,"Vine, Forb/herb"
CAMAA2,"Vine, Forb/herb"
CAMAC,"Vine, Forb/herb"
CAMAI,"Vine, Forb/herb"
CAMAM3,"Vine, Forb/herb"
CAMAT2,"Vine, Forb/herb"
CAMA38,"Vine, Forb/herb"
CAMAM4,"Vine, Forb/herb"
CAMAB3,"Vine, Forb/herb"
CAMAM11,"Vine, Forb/herb"
CAMAP,"Vine, Forb/herb"
CAOC6,"Vine, Forb/herb"
CAOCF,"Vine, Forb/herb"
CAOCO,"Vine, Forb/herb"
CAOCO2,"Vine, Forb/herb"
CAOCT2,"Vine, Forb/herb"
CAPE18,"Vine, Forb/herb"
CAPU18,"Vine, Forb/herb"
CAPUP2,"Vine, Forb/herb"
CAPUS,"Vine, Forb/herb"
CAPUS2,"Vine, Forb/herb"
CASE13,"Vine, Forb/herb"
CASEA2,"Vine, Forb/herb"
CASEA3,"Vine, Forb/herb"
CASEA4,"Vine, Forb/herb"
CASEB,"Vine, Forb/herb"
CASEE,"Vine, Forb/herb"
CASEL,"Vine, Forb/herb"
CASES,"Vine, Forb/herb"
CASI10,"Vine, Forb/herb"
CASID,Forb/herb
CASIF,"Vine, Forb/herb"
CASIS,"Vine, Forb/herb"
CASO2,"Vine, Forb/herb"
CASP14,"Vine, Forb/herb"
CASPP,"Vine, Forb/herb"
CASPS2,"Vine, Forb/herb"
CASPS,"Vine, Forb/herb"
CAST21,"Vine, Forb/herb"
CASU19,"Vine, Forb/herb"
CASUE,"Vine, Forb/herb"
CASUS2,"Vine, Forb/herb"
CAAN2,Forb/herb
CACU2,Forb/herb
CAHO12,Forb/herb
CALE5,Forb/herb
CALEL6,Forb/herb
CALES2,Forb/herb
CAQU2,Forb/herb
CAQUA,Forb/herb
CAQUB2,Forb/herb
CAQUI,Forb/herb
CAQUL2,Forb/herb
CAQUM,Forb/herb
CAQUQ,Forb/herb
CAQUU2,Forb/herb
CAQUW,Forb/herb
CASC5,Forb/herb
CAMI2,Forb/herb
CARU15,Forb/herb
CASA2,Forb/herb
CASAA,Forb/herb
CASAS2,Forb/herb
CAAN14,Forb/herb
CAAR20,Forb/herb
CAAT10,Forb/herb
CABE7,Forb/herb
CABI12,Forb/herb
CABO7,Forb/herb
CABOA,Forb/herb
CABOB,Forb/herb
CABOC,Forb/herb
CABOD,Forb/herb
CABOD2,Forb/herb
CABOI,Forb/herb
CABR22,Forb/herb
CABR23,Forb/herb
CABRA,Forb/herb
CABRB4,Forb/herb
CABRP,Forb/herb
CACA32,Forb/herb
CACA33,Forb/herb
CACAC8,Forb/herb
CACAO,Forb/herb
CACA34,Forb/herb
CACAC9,Forb/herb
CACAR2,Forb/herb
CACH12,Forb/herb
CACH13,Forb/herb
CACHC,Forb/herb
CACHS,Forb/herb
CACL4,Forb/herb
CACLA2,Forb/herb
CACLC3,Forb/herb
CACLC,Forb/herb
CACLF,Forb/herb
CACLI,Forb/herb
CACLL,Forb/herb
CACLP2,Forb/herb
CACLP3,Forb/herb
CACLR2,Forb/herb
CACLY,Forb/herb
CACO32,Forb/herb
CACO33,Forb/herb
CACO34,Forb/herb
CAEA,Forb/herb
CAEX10,Forb/herb
CAGO,Forb/herb
CAGR14,Forb/herb
CAGU4,Forb/herb
CAGUC,Forb/herb
CAHA15,Forb/herb
CAHE12,Forb/herb
CAHI12,Forb/herb
CAHI13,Forb/herb
CAIG2,Forb/herb
CAIN22,Forb/herb
CAIN23,Forb/herb
CAKE4,Forb/herb
CAKEG,Forb/herb
CAKEK,Forb/herb
CALA39,Forb/herb
CALE26,Forb/herb
CALU13,Forb/herb
CAME16,Forb/herb
CAMI22,Forb/herb
CAMI23,Forb/herb
CAMU13,Forb/herb
CAMU14,Forb/herb
CANE11,Forb/herb
CAOV4,Forb/herb
CAPA36,Forb/herb
CAPAH2,Forb/herb
CAPAP5,Forb/herb
CAPA37,Forb/herb
CAPA38,Forb/herb
CAPA39,Forb/herb
CAPT,Forb/herb
CAPU15,Forb/herb
CAPU16,Forb/herb
CAPY5,Forb/herb
CARE2,Forb/herb
CARO13,Forb/herb
CASC18,Forb/herb
CASCB2,Forb/herb
CASCM,Forb/herb
CASCS3,Forb/herb
CASCU,Forb/herb
CASI9,Forb/herb
CASIA,Forb/herb
CASIS2,Forb/herb
CASP13,Forb/herb
CASPH,Forb/herb
CASPS3,Forb/herb
CAST20,Forb/herb
CASU18,Forb/herb
CATA2,Forb/herb
CATAQ,Forb/herb
CATAT,Forb/herb
CAWA3,Forb/herb
CAWAT,Forb/herb
CAWAW2,Forb/herb
CAAN3,Forb/herb
CAAP2,Forb/herb
CAAU,Forb/herb
CABO8,Forb/herb
CACA7,Forb/herb
CACA37,Forb/herb
CACH,Forb/herb
CADI3,Forb/herb
CAEX3,Forb/herb
CAFL18,Forb/herb
CAGL2,Forb/herb
CAGR26,Forb/herb
CALA67,Forb/herb
CALA7,Forb/herb
CALA40,Forb/herb
CAME20,Forb/herb
CAPA10,Forb/herb
CAPAI2,Forb/herb
CAPAP2,Forb/herb
CAPA44,Forb/herb
CAPE20,Forb/herb
CAPI2,Forb/herb
CAPO2,Forb/herb
CAPU20,Forb/herb
CARA,Forb/herb
CARE3,Forb/herb
CARO15,Forb/herb
CARO2,Forb/herb
CASC6,Forb/herb
CASC7,Forb/herb
CASH4,Forb/herb
CASH3,Forb/herb
CATR4,Forb/herb
CAUN2,"Subshrub, Forb/herb"
CAWI8,Forb/herb
CAAM18,Forb/herb
CAPA32,Forb/herb
CAAN9,Forb/herb
CACO20,Forb/herb
CAPH5,Forb/herb
CAMO32,Forb/herb
CABR21,"Vine, Forb/herb"
CACA29,"Vine, Forb/herb"
CAEN4,"Vine, Forb/herb"
CAGA,"Vine, Forb/herb"
CAHA12,"Vine, Forb/herb"
CAKA3,"Vine, Forb/herb"
CAMO15,"Vine, Forb/herb"
CANA4,"Vine, Forb/herb"
CAPU14,"Vine, Forb/herb"
CARO26,"Vine, Forb/herb"
CASE9,"Vine, Forb/herb"
CAAU2,Forb/herb
CACA8,Forb/herb
CAFL11,Forb/herb
CAGE3,Forb/herb
CAGL13,Forb/herb
CAIN19,Forb/herb
CASA3,Forb/herb
CASAI,Forb/herb
CASAS3,Forb/herb
CASAS9,Forb/herb
CASAS10,Forb/herb
CACA41,Forb/herb
CAPA11,Forb/herb
CABI13,"Subshrub, Forb/herb"
CABU2,Forb/herb
CAAN4,"Subshrub, Forb/herb"
CAANA4,"Subshrub, Forb/herb"
CAANG,"Subshrub, Forb/herb"
CAAN5,Forb/herb
CAAN11,Forb/herb
CAAN12,Forb/herb
CABE,Forb/herb
CABEB,Forb/herb
CABEP,Forb/herb
CABR6,Forb/herb
CABRB,Forb/herb
CABRL,Forb/herb
CABRO,Forb/herb
CABU12,Forb/herb
CABU3,Forb/herb
CACA39,Forb/herb
CACAC3,Forb/herb
CACAC15,Forb/herb
CACAC16,Forb/herb
CACAI3,Forb/herb
CACAS4,Forb/herb
CACA35,Forb/herb
CACL2,Forb/herb
CACO26,Forb/herb
CACO27,Forb/herb
CACO6,Forb/herb
CACOC,Forb/herb
CACOI,Forb/herb
CACOL4,Forb/herb
CADE14,Forb/herb
CADI9,Forb/herb
CADI10,Forb/herb
CADI28,Forb/herb
CADO,Forb/herb
CAFL13,Forb/herb
CAFLF6,Forb/herb
CAFLH,Forb/herb
CAFL14,Forb/herb
CAHI3,Forb/herb
CAIM,Forb/herb
CAIN20,Forb/herb
CALO11,Forb/herb
CAMA7,Forb/herb
CAMAT,Forb/herb
CAMA36,Forb/herb
CAMI19,Forb/herb
CAMI3,Forb/herb
CAMIB,Forb/herb
CAMIM7,Forb/herb
CANU17,Forb/herb
CANUC,Forb/herb
CANUD,Forb/herb
CANUG,Forb/herb
CANUN2,Forb/herb
CAOC,Forb/herb
CAOL,Forb/herb
CAOLK,Forb/herb
CAOLO,Forb/herb
CAPA79,Forb/herb
CAPAD2,Forb/herb
CAPAP10,Forb/herb
CAPA12,Forb/herb
CAPAA2,Forb/herb
CAPA13,Forb/herb
CAPE2,Forb/herb
CAPE3,Forb/herb
CAPR3,Forb/herb
CAPRA,Forb/herb
CAPRP,Forb/herb
CAPU5,Forb/herb
CARE6,Forb/herb
CARO3,Forb/herb
CARU2,Forb/herb
CADR,Forb/herb
CAPU6,Forb/herb
CARA3,Forb/herb
CACO31,"Vine, Forb/herb"
CADI15,"Vine, Forb/herb"
CAGR13,"Vine, Forb/herb"
CAHA13,"Vine, Forb/herb"
CAMI21,"Vine, Forb/herb"
CAAC,Forb/herb
CACR2,Forb/herb
CANU4,Forb/herb
CAOR8,Forb/herb
CAPY2,Forb/herb
CATE2,Forb/herb
CAVI30,Forb/herb
CAVU3,Forb/herb
CAVUL,Forb/herb
CALI2,"Subshrub, Forb/herb"
CAME18,"Subshrub, Forb/herb"
CAPA51,Forb/herb
CATE15,"Subshrub, Forb/herb"
CATO13,Forb/herb
CAMU27,Forb/herb
CATE8,Forb/herb
CABE4,Forb/herb
CACA59,Forb/herb
CACO37,Forb/herb
CAOD3,Forb/herb
CAPA53,Forb/herb
CAPS5,Forb/herb
CATO5,Forb/herb
CABI6,"Subshrub, Forb/herb"
CACH38,"Shrub, Forb/herb, Subshrub"
CALA20,Forb/herb
CALAC3,Forb/herb
CALAL10,Forb/herb
CALE52,Forb/herb
CAOX6,Forb/herb
CATI,Forb/herb
CACA19,Forb/herb
CAFI4,"Vine, Forb/herb"
CATR18,"Subshrub, Forb/herb"
CAAF,"Subshrub, Forb/herb"
CAAFA2,"Forb/herb, Subshrub"
CAAFL2,Forb/herb
CAAFN2,"Subshrub, Forb/herb"
CAAM32,Forb/herb
CAAMA3,Forb/herb
CAAMH,Forb/herb
CAAMI2,Forb/herb
CAAMM,Forb/herb
CAAN7,"Subshrub, Forb/herb"
CAANA3,"Subshrub, Forb/herb"
CAAND,"Forb/herb, Subshrub"
CAANF,"Subshrub, Forb/herb"
CAAN8,Forb/herb
CAAP4,"Subshrub, Forb/herb"
