"plant_id","type"
"9571","DACA7","Forb/herb"
"9572","DACAC","Forb/herb"
"9573","DACAO","Forb/herb"
"9574","DACA8","Forb/herb"
"9577","DACE2","Forb/herb"
"9578","DACO2","Forb/herb"
"9579","DACOC","Forb/herb"
"9580","DACOP","Forb/herb"
"9581","DACY","Forb/herb"
"9582","DAEM2","Forb/herb"
"9583","DAEN","Forb/herb"
"9584","DAEX2","Forb/herb"
"9585","DAEX3","Forb/herb"
"9586","DAFE2","Forb/herb"
"9587","DAFI","Forb/herb"
"9588","DAFL","Forb/herb"
"9589","DAFO2","Forb/herb"
"9592","DAGA","Forb/herb"
"9593","DAGR","Forb/herb"
"9595","DAHA","Forb/herb"
"9596","DAJA","Forb/herb"
"9597","DALA","Forb/herb"
"9598","DALA3","Forb/herb"
"9599","DALAL","Forb/herb"
"9600","DALAT","Forb/herb"
"9601","DALA6","Forb/herb"
"9602","DALA4","Forb/herb"
"9603","DALE3","Forb/herb"
"9604","DALU","Forb/herb"
"9605","DAMO","Forb/herb"
"9606","DAMO2","Forb/herb"
"9607","DAMO4","Forb/herb"
"9608","DAMU","Forb/herb"
"9609","DANA","Forb/herb"
"9610","DANAC","Forb/herb"
"9611","DANAN","Forb/herb"
"9612","DANE","Forb/herb"
"9613","DANEL","Forb/herb"
"9614","DANEN","Forb/herb"
"9615","DAOB","Forb/herb"
"9616","DAOR2","Forb/herb"
"9617","DAPH2","Forb/herb"
"9618","DAPHM","Forb/herb"
"9619","DAPHP","Forb/herb"
"9620","DAPI2","Forb/herb"
"9621","DAPIP","Forb/herb"
"9622","DAPIT","Forb/herb"
"9623","DAPO","Forb/herb"
"9624","DAPOP","Forb/herb"
"9625","DAPOW","Forb/herb"
"9626","DAPO3","Forb/herb"
"9627","DAPR","Forb/herb"
"9629","DAPU5","Forb/herb"
"9630","DAPUA","Forb/herb"
"9631","DAPUP","Forb/herb"
"9632","DARE2","Forb/herb"
"9633","DASA","Forb/herb"
"9634","DASC3","Forb/herb"
"9635","DASCP","Forb/herb"
"9636","DASC4","Forb/herb"
"9637","DASE3","Forb/herb"
"9639","DATE5","Forb/herb"
"9640","DATE6","Forb/herb"
"9641","DAUR","Forb/herb"
"9645","DAVI","Forb/herb"
"9646","DAVIG","Forb/herb"
"9647","DAVIV","Forb/herb"
"9648","DAWR","Forb/herb"
"9649","DAWRW2","Forb/herb"
"9650","DAWRW","Forb/herb"
"9652","DARE","Forb/herb"
"9654","DACA12","Forb/herb"
"9670","DACA5","Forb/herb"
"9672","DAPE","Forb/herb"
"9677","DAMA","Forb/herb"
"9684","DADA","Forb/herb"
"9690","DAGL2","Forb/herb"
"9692","DACE","Forb/herb"
"9693","DADI2","Forb/herb"
"9694","DAIN2","Forb/herb"
"9695","DAQU","Forb/herb"
"9696","DAST","Forb/herb"
"9697","DAWR2","Forb/herb"
"9699","DALA5","Forb/herb"
"9701","DACA6","Forb/herb"
"9702","DAPU3","Forb/herb"
"9713","DEAR8","Forb/herb"
"9714","DEBA10","Forb/herb"
"9716","DECO13","Forb/herb"
"9717","DECO14","Forb/herb"
"9718","DECOC2","Forb/herb"
"9719","DECOM","Forb/herb"
"9720","DEHA7","Forb/herb"
"9721","DEIN15","Forb/herb"
"9722","DEINF2","Forb/herb"
"9723","DEINI8","Forb/herb"
"9724","DEINV3","Forb/herb"
"9726","DEMO5","Forb/herb"
"9727","DEPA17","Forb/herb"
"9728","DEPE5","Forb/herb"
"9730","DECO12","Forb/herb"
"9732","DEOD","Forb/herb"
"9749","DELI4","Forb/herb"
"9751","DEAL2","Forb/herb"
"9752","DEAL","Forb/herb"
"9753","DEAN","Forb/herb"
"9754","DEAN2","Forb/herb"
"9755","DEAN5","Forb/herb"
"9756","DEBA","Forb/herb"
"9757","DEBA2","Forb/herb"
"9758","DEBA9","Forb/herb"
"9759","DEBI","Forb/herb"
"9760","DEBIB","Forb/herb"
"9761","DEBIC","Forb/herb"
"9762","DEBR","Forb/herb"
"9763","DEBU","Forb/herb"
"9764","DECA","Forb/herb"
"9765","DECAC","Forb/herb"
"9766","DECAI","Forb/herb"
"9767","DECA2","Forb/herb"
"9768","DECA3","Forb/herb"
"9769","DECAC2","Forb/herb"
"9770","DECAC3","Forb/herb"
"9771","DECAV","Forb/herb"
"9772","DECAV2","Forb/herb"
"9773","DECH","Forb/herb"
"9774","DECO3","Forb/herb"
"9775","DEDE","Forb/herb"
"9776","DEDED","Forb/herb"
"9777","DEDET","Forb/herb"
"9778","DEDE2","Forb/herb"
"9779","DEDI11","Forb/herb"
"9780","DEDI3","Forb/herb"
"9781","DEEL2","Forb/herb"
"9782","DEEX","Forb/herb"
"9783","DEGE","Forb/herb"
"9784","DEGE2","Forb/herb"
"9785","DEGL","Forb/herb"
"9786","DEGL2","Forb/herb"
"9787","DEGL3","Forb/herb"
"9788","DEGR","Forb/herb"
"9789","DEGR80","Forb/herb"
"9790","DEGY","Forb/herb"
"9791","DEGYG","Forb/herb"
"9792","DEGYP","Forb/herb"
"9793","DEHA","Forb/herb"
"9794","DEHAE","Forb/herb"
"9795","DEHAH","Forb/herb"
"9796","DEHAK","Forb/herb"
"9797","DEHE","Forb/herb"
"9798","DEHEC","Forb/herb"
"9799","DEHEH","Forb/herb"
"9800","DEHEP","Forb/herb"
"9801","DEHU","Forb/herb"
"9802","DEIN7","Forb/herb"
"9803","DEIN","Forb/herb"
"9804","DELI3","Forb/herb"
"9805","DELU","Forb/herb"
"9806","DEMA5","Forb/herb"
"9807","DEME","Forb/herb"
"9808","DEMEM","Forb/herb"
"9809","DEMEP3","Forb/herb"
"9810","DEMU","Forb/herb"
"9811","DENE2","Forb/herb"
"9812","DENO","Forb/herb"
"9813","DENU","Forb/herb"
"9814","DENU7","Forb/herb"
"9815","DENU2","Forb/herb"
"9816","DENU3","Forb/herb"
"9817","DENUN2","Forb/herb"
"9818","DENUO","Forb/herb"
"9819","DEOC","Forb/herb"
"9820","DEPA","Forb/herb"
"9821","DEPAP4","Forb/herb"
"9822","DEPAP3","Forb/herb"
"9823","DEPAS","Forb/herb"
"9824","DEPA2","Forb/herb"
"9825","DEPAB","Forb/herb"
"9826","DEPAE2","Forb/herb"
"9827","DEPAM2","Forb/herb"
"9828","DEPAP5","Forb/herb"
"9829","DEPAP6","Forb/herb"
"9830","DEPA3","Forb/herb"
"9831","DEPAH","Forb/herb"
"9832","DEPAM","Forb/herb"
"9833","DEPAP7","Forb/herb"
"9834","DEPA4","Forb/herb"
"9835","DEPO","Forb/herb"
"9836","DEPU","Forb/herb"
"9837","DERA","Forb/herb"
"9838","DERE2","Forb/herb"
"9839","DERO","Forb/herb"
"9840","DESA","Forb/herb"
"9841","DESC","Forb/herb"
"9842","DESC2","Forb/herb"
"9843","DEST","Forb/herb"
"9844","DESU7","Forb/herb"
"9845","DETR3","Forb/herb"
"9846","DETR","Forb/herb"
"9847","DETR2","Forb/herb"
"9848","DEUL","Forb/herb"
"9849","DEUM","Forb/herb"
"9850","DEVA","Forb/herb"
"9851","DEVAK","Forb/herb"
"9852","DEVAT","Forb/herb"
"9853","DEVAV","Forb/herb"
"9854","DEVI2","Forb/herb"
"9855","DEWO","Forb/herb"
"9856","DEXA","Forb/herb"
"9863","DELI8","Forb/herb"
"9865","DEBI3","Forb/herb"
"9866","DECI3","Forb/herb"
"9867","DEGL6","Forb/herb"
"9868","DEPU2","Forb/herb"
"9870","DEAC4","Forb/herb"
"9871","DECA4","Forb/herb"
"9872","DEFE2","Forb/herb"
"9873","DEKA","Forb/herb"
"9874","DEMA6","Forb/herb"
"9875","DEPE6","Forb/herb"
"9888","DECA6","Forb/herb"
"9889","DEIN5","Forb/herb"
"9890","DEINI","Forb/herb"
"9891","DEINI2","Forb/herb"
"9892","DEINP","Forb/herb"
"9893","DEINV","Forb/herb"
"9894","DEOB","Forb/herb"
"9895","DEOBA","Forb/herb"
"9896","DEOBO","Forb/herb"
"9897","DEPA14","Forb/herb"
"9898","DEPAN","Forb/herb"
"9899","DEPAP10","Forb/herb"
"9900","DEPI","Forb/herb"
"9901","DEPIB","Forb/herb"
"9902","DEPIF","Forb/herb"
"9903","DEPIG","Forb/herb"
"9904","DEPIH","Forb/herb"
"9905","DEPII","Forb/herb"
"9906","DEPIM","Forb/herb"
"9907","DEPIN","Forb/herb"
"9908","DEPIO2","Forb/herb"
"9909","DEPIP2","Forb/herb"
"9910","DEPIP3","Forb/herb"
"9911","DERA2","Forb/herb"
"9912","DESO2","Forb/herb"
"9913","DESO3","Forb/herb"
"9915","DEAC3","Forb/herb"
"9916","DEBI8","Forb/herb"
"9917","DECO2","Forb/herb"
"9918","DECO4","Forb/herb"
"9919","DEGL8","Forb/herb"
"9920","DEIL","Forb/herb"
"9921","DELE2","Forb/herb"
"9922","DELE8","Forb/herb"
"9923","DEOB2","Forb/herb"
"9924","DEPE4","Forb/herb"
"9925","DERE3","Forb/herb"
"9926","DETA","Forb/herb"
"9927","DETAB","Forb/herb"
"9928","DEVE2","Forb/herb"
"9929","DEVI3","Forb/herb"
"9931","DEAR2","Forb/herb"
"9932","DEBA3","Forb/herb"
"9934","DECA7","Forb/herb"
"9935","DECA8","Forb/herb"
"9936","DECI","Forb/herb"
"9937","DECIC","Forb/herb"
"9938","DECIL","Forb/herb"
"9939","DECI2","Forb/herb"
"9940","DECU","Forb/herb"
"9941","DECUC","Forb/herb"
"9942","DECUL","Forb/herb"
"9943","DEFE","Forb/herb"
"9944","DEFL3","Forb/herb"
"9945","DEGL4","Forb/herb"
"9946","DEGL7","Forb/herb"
"9947","DEGL5","Forb/herb"
"9948","DEGR2","Forb/herb"
"9949","DEGR5","Forb/herb"
"9952","DEHE9","Forb/herb"
"9953","DEHU3","Forb/herb"
"9954","DEIL2","Forb/herb"
"9955","DEIN3","Forb/herb"
"9956","DEINI3","Forb/herb"
"9957","DEIN2","Forb/herb"
"9958","DELA2","Forb/herb"
"9959","DELI","Forb/herb"
"9960","DELI2","Forb/herb"
"9961","DEMA2","Forb/herb"
"9962","DEME2","Forb/herb"
"9963","DENE","Forb/herb"
"9964","DENU4","Forb/herb"
"9965","DENU5","Forb/herb"
"9966","DEOB5","Forb/herb"
"9967","DEOC2","Forb/herb"
"9968","DEPA6","Forb/herb"
"9969","DEPAE","Forb/herb"
"9970","DEPAP2","Forb/herb"
"9971","DEPA7","Forb/herb"
"9972","DEPE80","Forb/herb"
"9973","DEPR2","Forb/herb"
"9974","DEPRE","Forb/herb"
"9975","DEPS","Forb/herb"
"9976","DEPS2","Forb/herb"
"9977","DERE4","Forb/herb"
"9978","DERO2","Forb/herb"
"9979","DERO3","Forb/herb"
"9980","DESA81","Forb/herb"
"9981","DESC3","Forb/herb"
"9982","DESC5","Forb/herb"
"9983","DESE","Forb/herb"
"9984","DEST2","Forb/herb"
"9985","DETE3","Forb/herb"
"9986","DETO","Forb/herb"
"9987","DETR4","Forb/herb"
"9988","DETW","Forb/herb"
"9989","DEVI4","Forb/herb"
"9997","DISM3","Forb/herb"
"9999","DICA11","Forb/herb"
"10000","DISA6","Forb/herb"
"10002","DIAR","Forb/herb"
"10003","DIBA","Forb/herb"
"10004","DICA19","Forb/herb"
"10005","DICA26","Forb/herb"
"10006","DIDE","Forb/herb"
"10007","DIPL","Forb/herb"
"10008","DIRE","Forb/herb"
"10009","DISY2","Forb/herb"
"10018","DICA","Forb/herb"
"10019","DICU","Forb/herb"
"10020","DIEX","Forb/herb"
"10021","DIFO","Forb/herb"
"10022","DIFOF","Forb/herb"
"10023","DIFOO","Forb/herb"
"10024","DINE","Forb/herb"
"10025","DIPA","Forb/herb"
"10026","DIUN","Forb/herb"
"10028","DICH4","Forb/herb"
"10029","DICO5","Forb/herb"
"10030","DIDE5","Forb/herb"
"10031","DIFR","Forb/herb"
"10032","DIFRF2","Forb/herb"
"10033","DIFRM","Forb/herb"
"10034","DIIM","Forb/herb"
"10035","DIIMS","Forb/herb"
"10036","DILI3","Forb/herb"
"10037","DILIL2","Forb/herb"
"10038","DILIR","Forb/herb"
"10039","DIOD","Forb/herb"
"10040","DIRA2","Forb/herb"
"10041","DITH3","Forb/herb"
"10043","DICA2","Forb/herb"
"10117","DICA14","Forb/herb"
"10118","DICAC5","Forb/herb"
"10119","DICAP","Forb/herb"
"10120","DICO19","Forb/herb"
"10121","DIID","Forb/herb"
"10122","DIMU5","Forb/herb"
"10123","DIVE6","Forb/herb"
"10124","DIVO","Forb/herb"
"10129","DIAR2","Forb/herb"
"10130","DIBR","Forb/herb"
"10131","DICA3","Forb/herb"
"10132","DIDO3","Forb/herb"
"10133","DIMI","Forb/herb"
"10134","DIOC2","Forb/herb"
"10135","DIRE2","Forb/herb"
"10136","DISE8","Forb/herb"
"10138","DICI3","Forb/herb"
"10142","DIBR2","Forb/herb"
"10143","DICH2","Forb/herb"
"10144","DIRE4","Forb/herb"
"10145","DISE9","Forb/herb"
"10147","DICA4","Forb/herb"
"10148","DICAB","Forb/herb"
"10149","DICAC2","Forb/herb"
"10150","DICAC","Forb/herb"
"10151","DICAH","Forb/herb"
"10152","DICAW","Forb/herb"
"10158","DIPA3","Forb/herb"
"10160","DIEM","Forb/herb"
"10161","DIEME","Forb/herb"
"10162","DIEMI","Forb/herb"
"10163","DIFL2","Forb/herb"
"10164","DILI","Forb/herb"
"10165","DILIL","Forb/herb"
"10166","DILIM","Forb/herb"
"10176","DIAL4","Forb/herb"
"10178","DIDI","Forb/herb"
"10182","DISE7","Forb/herb"
"10184","DIER3","Forb/herb"
"10185","DIFA","Forb/herb"
"10186","DILA7","Forb/herb"
"10187","DILA24","Forb/herb"
"10188","DILE9","Forb/herb"
"10189","DIMA3","Forb/herb"
"10190","DIPA25","Forb/herb"
"10191","DIUN3","Forb/herb"
"10197","DIMU8","Forb/herb"
"10199","DIGR4","Forb/herb"
"10200","DILA3","Forb/herb"
"10201","DILU","Forb/herb"
"10202","DIPU","Forb/herb"
"10203","DIPUP2","Forb/herb"
"10239","DIHO2","Forb/herb"
"10243","DICA31","Forb/herb"
"10244","DIPI2","Forb/herb"
"10245","DIWI2","Forb/herb"
"10247","DISI4","Forb/herb"
"10254","DIDA","Forb/herb"
"10255","DIRA6","Forb/herb"
"10256","DITE2","Forb/herb"
"10257","DITEA","Forb/herb"
"10258","DITEH2","Forb/herb"
"10259","DITEH","Forb/herb"
"10260","DITEO","Forb/herb"
"10261","DITET","Forb/herb"
"10262","DIVI3","Forb/herb"
"10263","DIVIA","Forb/herb"
"10264","DIVIL","Forb/herb"
"10265","DIVIV2","Forb/herb"
"10267","DIMU4","Forb/herb"
"10269","DIAL2","Forb/herb"
"10270","DIBU","Forb/herb"
"10271","DIFL4","Forb/herb"
"10272","DIOP","Forb/herb"
"10273","DIPE2","Forb/herb"
"10274","DIQU","Forb/herb"
"10275","DISA17","Forb/herb"
"10276","DIVI4","Forb/herb"
"10287","DICY2","Forb/herb"
"10298","DICL2","Forb/herb"
"10308","DIES","Forb/herb"
"10309","DILO3","Forb/herb"
"10310","DIME","Forb/herb"
"10311","DIMO4","Forb/herb"
"10312","DIPY","Forb/herb"
"10313","DISA3","Forb/herb"
"10315","DIPI3","Forb/herb"
"10317","DIER5","Forb/herb"
"10318","DIMU2","Forb/herb"
"10319","DISI8","Forb/herb"
"10320","DITE4","Forb/herb"
"10322","DILI8","Forb/herb"
"10324","DIFU2","Forb/herb"
"10325","DILA4","Forb/herb"
"10326","DISA9","Forb/herb"
"10335","DIRO2","Forb/herb"
"10339","DICA7","Forb/herb"
"10340","DIMA6","Forb/herb"
"10348","DIGR3","Forb/herb"
"10349","DIVI6","Forb/herb"
"10351","DOLE","Forb/herb"
"10353","DOAL","Forb/herb"
"10354","DOALA","Forb/herb"
"10355","DOALM","Forb/herb"
"10356","DOAM","Forb/herb"
"10357","DOAU","Forb/herb"
"10358","DOCL","Forb/herb"
"10359","DOCLC","Forb/herb"
"10360","DOCLI","Forb/herb"
"10361","DOCLP","Forb/herb"
"10362","DOCLS","Forb/herb"
"10363","DOCO","Forb/herb"
"10364","DOCOC3","Forb/herb"
"10365","DOCOV2","Forb/herb"
"10366","DODE","Forb/herb"
"10367","DODED2","Forb/herb"
"10368","DODEE","Forb/herb"
"10369","DODEU","Forb/herb"
"10370","DOFR2","Forb/herb"
"10371","DOFR","Forb/herb"
"10372","DOHE","Forb/herb"
"10373","DOHEC","Forb/herb"
"10374","DOHEH3","Forb/herb"
"10375","DOHEH","Forb/herb"
"10376","DOHEP","Forb/herb"
"10377","DOJE","Forb/herb"
"10378","DOJEJ","Forb/herb"
"10379","DOJEP","Forb/herb"
"10380","DOME","Forb/herb"
"10381","DOMEB2","Forb/herb"
"10382","DOMEM3","Forb/herb"
"10383","DOPO","Forb/herb"
"10384","DOPU","Forb/herb"
"10385","DOPUC","Forb/herb"
"10386","DOPUM2","Forb/herb"
"10387","DOPUM3","Forb/herb"
"10388","DOPUP2","Forb/herb"
"10389","DORE","Forb/herb"
"10390","DOSU","Forb/herb"
"10394","DOIN2","Forb/herb"
"10395","DOSE","Forb/herb"
"10396","DOUM2","Forb/herb"
"10397","DOUMP2","Forb/herb"
"10398","DOUMU","Forb/herb"
"10400","DOKU","Forb/herb"
"10401","DOLY","Forb/herb"
"10403","DOJU","Forb/herb"
"10405","DOPA2","Forb/herb"
"10406","DOPL","Forb/herb"
"10408","DOCO3","Forb/herb"
"10410","DOAN2","Forb/herb"
"10411","DODE4","Forb/herb"
"10412","DODE2","Forb/herb"
"10413","DOSU2","Forb/herb"
"10414","DOTA2","Forb/herb"
"10416","DOAL2","Forb/herb"
"10417","DOAR","Forb/herb"
"10418","DOBE2","Forb/herb"
"10420","DOGO","Forb/herb"
"10421","DOID","Forb/herb"
"10422","DOLA","Forb/herb"
"10423","DOLAC","Forb/herb"
"10424","DOLAL","Forb/herb"
"10425","DOMO","Forb/herb"
"10426","DONI","Forb/herb"
"10427","DONID","Forb/herb"
"10428","DONIN","Forb/herb"
"10429","DOOC","Forb/herb"
"10433","DOBA","Forb/herb"
"10434","DOBE","Forb/herb"
"10435","DOBI","Forb/herb"
"10436","DOBIB","Forb/herb"
"10437","DOBIP","Forb/herb"
"10438","DOCO2","Forb/herb"
"10439","DOCOB","Forb/herb"
"10440","DOCOC","Forb/herb"
"10441","DOCOT","Forb/herb"
"10442","DOCU","Forb/herb"
"10443","DOEL","Forb/herb"
"10444","DOELB","Forb/herb"
"10445","DOELE","Forb/herb"
"10446","DOIN","Forb/herb"
"10447","DOLA2","Forb/herb"
"10448","DOMO2","Forb/herb"
"10449","DOOR","Forb/herb"
"10450","DOORE","Forb/herb"
"10451","DOORO","Forb/herb"
"10452","DOPU2","Forb/herb"
"10453","DOPU3","Forb/herb"
"10454","DOYI","Forb/herb"
"10456","DRAL4","Forb/herb"
"10457","DRAL","Forb/herb"
"10458","DRAL2","Forb/herb"
"10459","DRAP2","Forb/herb"
"10460","DRAR","Forb/herb"
"10461","DRAR5","Forb/herb"
"10462","DRAR2","Forb/herb"
"10463","DRAR4","Forb/herb"
"10464","DRAS","Forb/herb"
"10465","DRASA","Forb/herb"
"10466","DRASK","Forb/herb"
"10467","DRASS","Forb/herb"
"10468","DRASZ","Forb/herb"
"10469","DRAS2","Forb/herb"
"10470","DRASA2","Forb/herb"
"10471","DRASM","Forb/herb"
"10472","DRAU","Forb/herb"
"10473","DRAU2","Forb/herb"
"10474","DRBO","Forb/herb"
"10475","DRBR","Forb/herb"
"10476","DRBR4","Forb/herb"
"10477","DRBR2","Forb/herb"
"10478","DRBRB","Forb/herb"
"10479","DRBRC","Forb/herb"
"10480","DRBU2","Forb/herb"
"10481","DRCA","Forb/herb"
"10482","DRCA5","Forb/herb"
"10483","DRCA6","Forb/herb"
"10484","DRCH","Forb/herb"
"10485","DRCI","Forb/herb"
"10486","DRCO","Forb/herb"
"10487","DRCOC","Forb/herb"
"10488","DRCOS","Forb/herb"
"10489","DRCO3","Forb/herb"
"10490","DRCR","Forb/herb"
"10491","DRCR2","Forb/herb"
"10492","DRCR3","Forb/herb"
"10493","DRCU","Forb/herb"
"10494","DRCUC","Forb/herb"
"10495","DRCUI","Forb/herb"
"10496","DRCUS","Forb/herb"
"10497","DRCU2","Forb/herb"
"10498","DRCUC3","Forb/herb"
"10499","DRDA","Forb/herb"
"10500","DRDE","Forb/herb"
"10501","DREX3","Forb/herb"
"10502","DRFL","Forb/herb"
"10503","DRFLF2","Forb/herb"
"10504","DRFLP","Forb/herb"
"10505","DRGL","Forb/herb"
"10506","DRGLG2","Forb/herb"
"10507","DRGL6","Forb/herb"
"10508","DRGR2","Forb/herb"
"10509","DRGR3","Forb/herb"
"10510","DRHE","Forb/herb"
"10511","DRHEB","Forb/herb"
"10512","DRHEB2","Forb/herb"
"10513","DRHEH","Forb/herb"
"10514","DRHEP","Forb/herb"
"10515","DRHI2","Forb/herb"
"10516","DRHO","Forb/herb"
"10517","DRHY","Forb/herb"
"10518","DRIN","Forb/herb"
"10519","DRIN2","Forb/herb"
"10520","DRINI4","Forb/herb"
"10521","DRIN8","Forb/herb"
"10522","DRJA","Forb/herb"
"10523","DRJU2","Forb/herb"
"10524","DRKA3","Forb/herb"
"10525","DRLA","Forb/herb"
"10526","DRLE","Forb/herb"
"10527","DRLEC","Forb/herb"
"10528","DRLEL","Forb/herb"
"10529","DRLO","Forb/herb"
"10530","DRLOL","Forb/herb"
"10531","DRLOT","Forb/herb"
"10532","DRLOV","Forb/herb"
"10533","DRMA7","Forb/herb"
"10534","DRMA2","Forb/herb"
"10535","DRMAM","Forb/herb"
"10536","DRMO3","Forb/herb"
"10537","DRMO4","Forb/herb"
"10538","DRMU","Forb/herb"
"10539","DRNE","Forb/herb"
"10540","DRNI","Forb/herb"
"10541","DRNIN2","Forb/herb"
"10542","DRNO5","Forb/herb"
"10543","DRNON2","Forb/herb"
"10544","DROB2","Forb/herb"
"10545","DROG","Forb/herb"
"10546","DROL","Forb/herb"
"10547","DROR","Forb/herb"
"10548","DRORO","Forb/herb"
"10549","DRORS","Forb/herb"
"10550","DRPA7","Forb/herb"
"10551","DRPA11","Forb/herb"
"10552","DRPA8","Forb/herb"
"10553","DRPA","Forb/herb"
"10554","DRPAP","Forb/herb"
"10555","DRPAT","Forb/herb"
"10556","DRPE7","Forb/herb"
"10557","DRPE3","Forb/herb"
"10558","DRPE2","Forb/herb"
"10559","DRPEP","Forb/herb"
"10560","DRPEV","Forb/herb"
"10561","DRPL","Forb/herb"
"10562","DRPO2","Forb/herb"
"10563","DRPOB","Forb/herb"
"10564","DRPOP","Forb/herb"
"10565","DRPR","Forb/herb"
"10566","DRPS","Forb/herb"
"10567","DRPT","Forb/herb"
"10568","DRRA","Forb/herb"
"10569","DRRA2","Forb/herb"
"10570","DRRE","Forb/herb"
"10571","DRRE2","Forb/herb"
"10572","DRRU","Forb/herb"
"10573","DRSH","Forb/herb"
"10574","DRSI","Forb/herb"
"10575","DRSM","Forb/herb"
"10576","DRSO","Forb/herb"
"10577","DRSP","Forb/herb"
"10578","DRSPO","Forb/herb"
"10579","DRSPS","Forb/herb"
"10580","DRSP2","Forb/herb"
"10581","DRSP6","Forb/herb"
"10582","DRST","Forb/herb"
"10583","DRST2","Forb/herb"
"10584","DRSTR","Forb/herb"
"10585","DRSTS","Forb/herb"
"10586","DRST3","Forb/herb"
"10587","DRST5","Forb/herb"
"10588","DRST4","Forb/herb"
"10589","DRSU","Forb/herb"
"10590","DRSU2","Forb/herb"
"10591","DRSU3","Forb/herb"
"10592","DRTR3","Forb/herb"
"10593","DRVE","Forb/herb"
"10594","DRVE2","Forb/herb"
"10595","DRWE","Forb/herb"
"10597","DRMO","Forb/herb"
"10598","DRPA2","Forb/herb"
"10599","DRTH","Forb/herb"
"10601","DRAM","Forb/herb"
"10603","DRVU","Forb/herb"
"10605","DRSY","Forb/herb"
"10611","DRFL2","Forb/herb"
"10613","DRSP5","Forb/herb"
"10615","DRAL6","Forb/herb"
"10616","DRAN","Forb/herb"
"10617","DRBE4","Forb/herb"
"10618","DRBR3","Forb/herb"
"10619","DRCA15","Forb/herb"
"10620","DRCA14","Forb/herb"
"10621","DRCA2","Forb/herb"
"10622","DRFI","Forb/herb"
"10623","DRHY2","Forb/herb"
"10624","DRIN3","Forb/herb"
"10625","DRLI","Forb/herb"
"10626","DROB","Forb/herb"
"10627","DRRO","Forb/herb"
"10628","DRROC","Forb/herb"
"10629","DRROG","Forb/herb"
"10630","DRROR","Forb/herb"
"10631","DRTR4","Forb/herb"
"10635","DRDR","Forb/herb"
"10636","DRDRD","Forb/herb"
"10637","DRDRE","Forb/herb"
"10638","DRDRT","Forb/herb"
"10639","DRIN4","Forb/herb"
"10640","DRINC","Forb/herb"
"10641","DRINC2","Forb/herb"
"10642","DRINI2","Forb/herb"
"10643","DRINS","Forb/herb"
"10644","DROC","Forb/herb"
"10645","DROCA2","Forb/herb"
"10646","DROCH","Forb/herb"
"10647","DROCO","Forb/herb"
"10648","DROCA3","Forb/herb"
"10649","DROCK2","Forb/herb"
"10650","DROCO2","Forb/herb"
"10651","DROCP8","Forb/herb"
"10653","DRCO2","Forb/herb"
"10654","DRCOC2","Forb/herb"
"10655","DRCOD","Forb/herb"
"10656","DREF","Forb/herb"
"10657","DREFD","Forb/herb"
"10658","DREFE","Forb/herb"
"10659","DRGL5","Forb/herb"
"10660","DRLA4","Forb/herb"
"10661","DRLE3","Forb/herb"
"10662","DRMO2","Forb/herb"
"10663","DRPA3","Forb/herb"
"10664","DRVI4","Forb/herb"
"10666","DRQU2","Forb/herb"
"10668","DRRU2","Forb/herb"
"10670","DRAL9","Forb/herb"
"10671","DRAR3","Forb/herb"
"10672","DRAU5","Forb/herb"
"10673","DRBE","Forb/herb"
"10674","DRBO2","Forb/herb"
"10675","DRBU","Forb/herb"
"10676","DRCA3","Forb/herb"
"10677","DRCA11","Forb/herb"
"10678","DRCE","Forb/herb"
"10679","DRCI2","Forb/herb"
"10680","DRCL","Forb/herb"
"10681","DRCO7","Forb/herb"
"10682","DRCR5","Forb/herb"
"10683","DRCR4","Forb/herb"
"10684","DRDO2","Forb/herb"
"10685","DREX2","Forb/herb"
"10686","DRFI2","Forb/herb"
"10687","DRFR","Forb/herb"
"10688","DRFU","Forb/herb"
"10689","DRGL3","Forb/herb"
"10690","DRGO3","Forb/herb"
"10691","DRHA","Forb/herb"
"10692","DRHO3","Forb/herb"
"10693","DRIN5","Forb/herb"
"10694","DRLE2","Forb/herb"
"10695","DRLU","Forb/herb"
"10696","DRMA4","Forb/herb"
"10697","DRMA11","Forb/herb"
"10698","DRMI6","Forb/herb"
"10699","DRNE2","Forb/herb"
"10700","DRNU","Forb/herb"
"10701","DRPA6","Forb/herb"
"10702","DRPI2","Forb/herb"
"10703","DRPO5","Forb/herb"
"10704","DRRO2","Forb/herb"
"10705","DRSA","Forb/herb"
"10706","DRSE2","Forb/herb"
"10707","DRSL","Forb/herb"
"10708","DRSU8","Forb/herb"
"10709","DRTE4","Forb/herb"
"10710","DRTE5","Forb/herb"
"10711","DRTR","Forb/herb"
"10712","DRUL2","Forb/herb"
"10713","DRUN","Forb/herb"
"10714","DRWA","Forb/herb"
"10730","DUKE","Forb/herb"
"10768","DUIN2","Forb/herb"
"10770","DUAB","Forb/herb"
"10771","DUABA","Forb/herb"
"10772","DUABA2","Forb/herb"
"10773","DUABB","Forb/herb"
"10774","DUABM","Forb/herb"
"10775","DUABP","Forb/herb"
"10776","DUAT","Forb/herb"
"10777","DUATO","Forb/herb"
"10778","DUBL","Forb/herb"
"10779","DUBLB","Forb/herb"
"10780","DUBLB2","Forb/herb"
"10781","DUBLI","Forb/herb"
"10782","DUCA4","Forb/herb"
"10783","DUCA3","Forb/herb"
"10784","DUCA2","Forb/herb"
"10785","DUCO","Forb/herb"
