"plant_id","type"
"433","AESE","Forb/herb"
"435","AEAM","Forb/herb"
"436","AEEV","Forb/herb"
"437","AEHI2","Forb/herb"
"438","AEHII","Forb/herb"
"439","AEIN","Forb/herb"
"440","AEPA3","Forb/herb"
"441","AEPR","Forb/herb"
"442","AERU","Forb/herb"
"443","AEVI2","Forb/herb"
"444","AEVI3","Forb/herb"
"445","AEVI","Forb/herb"
"467","AECY2","Forb/herb"
"469","AGAC","Forb/herb"
"470","AGAP3","Forb/herb"
"471","AGAS2","Forb/herb"
"472","AGAU3","Forb/herb"
"473","AGCA8","Forb/herb"
"474","AGCA7","Forb/herb"
"475","AGDE6","Forb/herb"
"476","AGDI2","Forb/herb"
"477","AGED","Forb/herb"
"478","AGFA2","Forb/herb"
"479","AGFI","Forb/herb"
"480","AGFI2","Forb/herb"
"481","AGFL2","Forb/herb"
"482","AGGA","Forb/herb"
"483","AGHA3","Forb/herb"
"484","AGHE4","Forb/herb"
"485","AGHO4","Forb/herb"
"486","AGLA10","Forb/herb"
"487","AGLI2","Forb/herb"
"488","AGMA3","Forb/herb"
"489","AGMAG","Forb/herb"
"490","AGMAM","Forb/herb"
"491","AGNA","Forb/herb"
"492","AGNE5","Forb/herb"
"493","AGNU","Forb/herb"
"494","AGOB","Forb/herb"
"495","AGOL","Forb/herb"
"496","AGPA12","Forb/herb"
"497","AGPAB","Forb/herb"
"498","AGPAP3","Forb/herb"
"499","AGPL","Forb/herb"
"500","AGPU4","Forb/herb"
"501","AGPU5","Forb/herb"
"502","AGSE3","Forb/herb"
"503","AGSK","Forb/herb"
"504","AGST4","Forb/herb"
"505","AGTE3","Forb/herb"
"506","AGTEL","Forb/herb"
"507","AGTEM","Forb/herb"
"508","AGTEP2","Forb/herb"
"509","AGTEP3","Forb/herb"
"510","AGTET","Forb/herb"
"511","AGVI5","Forb/herb"
"513","AGPR5","Forb/herb"
"517","AGBR","Forb/herb"
"518","AGCA","Forb/herb"
"519","AGCU","Forb/herb"
"520","AGFO","Forb/herb"
"521","AGME2","Forb/herb"
"522","AGMI","Forb/herb"
"523","AGNE2","Forb/herb"
"524","AGOC","Forb/herb"
"525","AGPA11","Forb/herb"
"526","AGPA","Forb/herb"
"527","AGPAN","Forb/herb"
"528","AGPAH3","Forb/herb"
"529","AGPAN2","Forb/herb"
"530","AGPAP2","Forb/herb"
"531","AGPAG3","Forb/herb"
"532","AGPAG4","Forb/herb"
"533","AGPAP4","Forb/herb"
"534","AGPA2","Forb/herb"
"535","AGPR3","Forb/herb"
"536","AGPRV","Forb/herb"
"537","AGRU","Forb/herb"
"538","AGSC","Forb/herb"
"539","AGUR","Forb/herb"
"540","AGURG","Forb/herb"
"541","AGURU","Forb/herb"
"542","AGWR","Forb/herb"
"544","AGAJ","Forb/herb"
"545","AGAM","Forb/herb"
"546","AGAMA","Forb/herb"
"547","AGAMA2","Forb/herb"
"548","AGAME","Forb/herb"
"549","AGAMP","Forb/herb"
"550","AGAR8","Forb/herb"
"551","AGAS3","Forb/herb"
"552","AGCH2","Forb/herb"
"553","AGDE3","Forb/herb"
"554","AGDE10","Forb/herb"
"555","AGDE","Forb/herb"
"556","AGDED","Forb/herb"
"557","AGDES","Forb/herb"
"558","AGDE4","Forb/herb"
"559","AGGL2","Forb/herb"
"560","AGGR4","Forb/herb"
"561","AGHA","Forb/herb"
