"plant_id","type","type","present"
"307","ACDED3","Forb/herb","Forb/herb",1
"308","ACDEP","Forb/herb","Forb/herb",1
"309","ACIN2","Forb/herb","Forb/herb",1
"310","ACMA4","Forb/herb","Forb/herb",1
"311","ACNA","Forb/herb","Forb/herb",1
"312","ACNO2","Forb/herb","Forb/herb",1
"313","ACRE","Forb/herb","Forb/herb",1
"314","ACUN","Forb/herb","Forb/herb",1
"315","ACUNM","Forb/herb","Forb/herb",1
"316","ACUNU","Forb/herb","Forb/herb",1
"318","ACAM","Forb/herb","Forb/herb",1
"319","ACCA4","Forb/herb","Forb/herb",1
"321","ACMI3","Subshrub, Forb/herb","Forb/herb",1
"322","ACNA2","Forb/herb","Forb/herb",1
"323","ACRU3","Forb/herb","Forb/herb",1
"324","ACTH","Forb/herb","Forb/herb",1
"325","ACWR5","Forb/herb","Forb/herb",1
"331","ACRE3","Forb/herb","Forb/herb",1
"333","ACAU3","Forb/herb","Forb/herb",1
"334","ACDA","Forb/herb","Forb/herb",1
"336","ACAR18","Forb/herb","Forb/herb",1
"337","ACEL4","Forb/herb","Forb/herb",1
"338","ACLA12","Forb/herb","Forb/herb",1
"339","ACLU","Forb/herb","Forb/herb",1
"340","ACPA","Forb/herb","Forb/herb",1
"341","ACPO11","Forb/herb","Forb/herb",1
"342","ACRA7","Forb/herb","Forb/herb",1
"343","ACRAD","Forb/herb","Forb/herb",1
"344","ACRAR","Forb/herb","Forb/herb",1
"345","ACRU14","Forb/herb","Forb/herb",1
"346","ACRU2","Forb/herb","Forb/herb",1
"347","ACRUA8","Forb/herb","Forb/herb",1
"348","ACRUR2","Forb/herb","Forb/herb",1
"349","ACSP10","Forb/herb","Forb/herb",1
"360","ADBI","Forb/herb","Forb/herb",1
"362","ADAB2","Forb/herb","Forb/herb",1
"363","ADAB","Forb/herb","Forb/herb",1
"364","ADCA5","Forb/herb","Forb/herb",1
"365","ADEP","Forb/herb","Forb/herb",1
"366","ADHA","Forb/herb","Forb/herb",1
"367","ADHY","Forb/herb","Forb/herb",1
"368","ADMO3","Forb/herb","Forb/herb",1
"369","ADOA","Forb/herb","Forb/herb",1
"370","ADPE2","Forb/herb","Forb/herb",1
"371","ADPI","Forb/herb","Forb/herb",1
"372","ADTA","Forb/herb","Forb/herb",1
"373","ADTR2","Forb/herb","Forb/herb",1
"378","ADWR","Forb/herb","Forb/herb",1
"380","ADLA2","Forb/herb","Forb/herb",1
"387","ADAL","Forb/herb","Forb/herb",1
"388","ADAN2","Forb/herb","Forb/herb",1
"389","ADCA","Forb/herb","Forb/herb",1
"390","ADCA3","Forb/herb","Forb/herb",1
"391","ADHI","Forb/herb","Forb/herb",1
"392","ADJO","Forb/herb","Forb/herb",1
"393","ADME","Forb/herb","Forb/herb",1
"394","ADPE","Forb/herb","Forb/herb",1
"395","ADRA","Forb/herb","Forb/herb",1
"396","ADTE","Forb/herb","Forb/herb",1
"397","ADTR3","Forb/herb","Forb/herb",1
"398","ADTR4","Forb/herb","Forb/herb",1
"399","ADTR","Forb/herb","Forb/herb",1
"400","ADVI","Forb/herb","Forb/herb",1
"401","ADVI3","Forb/herb","Forb/herb",1
"403","ADFU","Vine, Forb/herb","Forb/herb",1
"408","ADAE","Forb/herb","Forb/herb",1
"409","ADAN","Forb/herb","Forb/herb",1
"410","ADVE","Forb/herb","Forb/herb",1
"412","ADMO","Forb/herb","Forb/herb",1
"423","AEPO","Forb/herb","Forb/herb",1
"433","AESE","Forb/herb","Forb/herb",1
"435","AEAM","Forb/herb, Subshrub","Forb/herb",1
"436","AEEV","Forb/herb","Forb/herb",1
