"plant_id","type","type","present"
"15200","HEMI13","Forb/herb","Forb/herb",1
"15201","HENA3","Forb/herb","Forb/herb",1
"15202","HERH","Forb/herb","Forb/herb",1
"15203","HESH2","Forb/herb","Forb/herb",1
"15204","HESHH","Forb/herb","Forb/herb",1
"15205","HESHS","Forb/herb","Forb/herb",1
"15206","HESO5","Forb/herb","Forb/herb",1
"15207","HESP4","Forb/herb","Forb/herb",1
"15208","HEVI3","Forb/herb","Forb/herb",1
"15221","HIAC","Forb/herb","Forb/herb",1
"15226","HIBI2","Forb/herb","Forb/herb",1
"15227","HIBI","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15233","HICA5","Forb/herb","Forb/herb",1
"15235","HICO2","Forb/herb","Forb/herb",1
"15237","HIDA","Forb/herb","Forb/herb",1
"15239","HIFU","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15240","HIFUY","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15245","HILA2","Forb/herb","Forb/herb",1
"15246","HILA6","Forb/herb, Subshrub","Forb/herb",1
"15248","HIMA6","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15249","HIMO","Subshrub, Forb/herb","Forb/herb",1
"15251","HIPO","Forb/herb","Forb/herb",1
"15252","HIRA","Subshrub, Forb/herb","Forb/herb",1
"15254","HISA2","Subshrub, Forb/herb","Forb/herb",1
"15255","HISC3","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15256","HIST","Subshrub, Forb/herb","Forb/herb",1
"15257","HISTL2","Subshrub, Forb/herb","Forb/herb",1
"15260","HITR","Forb/herb","Forb/herb",1
"15265","HIAL2","Forb/herb","Forb/herb",1
"15266","HIAL4","Forb/herb","Forb/herb",1
"15267","HIAR2","Forb/herb","Forb/herb",1
"15268","HIAT","Forb/herb","Forb/herb",1
"15269","HIAU","Forb/herb","Forb/herb",1
"15270","HIBO","Forb/herb","Forb/herb",1
"15271","HIBR3","Forb/herb","Forb/herb",1
"15272","HICA10","Forb/herb","Forb/herb",1
"15273","HICA3","Forb/herb","Forb/herb",1
"15274","HICAC","Forb/herb","Forb/herb",1
"15275","HICA4","Forb/herb","Forb/herb",1
"15276","HICY","Forb/herb","Forb/herb",1
"15277","HIFA2","Forb/herb","Forb/herb",1
"15278","HIFAF","Forb/herb","Forb/herb",1
"15279","HIFAM","Forb/herb","Forb/herb",1
"15280","HIFAW","Forb/herb","Forb/herb",1
"15281","HIFE","Forb/herb","Forb/herb",1
"15282","HIFED","Forb/herb","Forb/herb",1
"15283","HIFEF","Forb/herb","Forb/herb",1
"15284","HIFEM","Forb/herb","Forb/herb",1
"15285","HIFE2","Forb/herb","Forb/herb",1
"15286","HIFL2","Forb/herb","Forb/herb",1
"15287","HIFLC","Forb/herb","Forb/herb",1
"15288","HIFLF","Forb/herb","Forb/herb",1
"15289","HIFL3","Forb/herb","Forb/herb",1
"15290","HIFU2","Forb/herb","Forb/herb",1
"15291","HIGL3","Forb/herb","Forb/herb",1
"15292","HIGR","Forb/herb","Forb/herb",1
"15293","HIGRA","Forb/herb","Forb/herb",1
"15294","HIGRD","Forb/herb","Forb/herb",1
"15295","HIGRG","Forb/herb","Forb/herb",1
"15296","HIGRY","Forb/herb","Forb/herb",1
"15297","HIGR2","Forb/herb","Forb/herb",1
"15298","HIGR5","Forb/herb","Forb/herb",1
"15299","HIGR7","Forb/herb","Forb/herb",1
"15300","HIGRF2","Forb/herb","Forb/herb",1
"15301","HIGRG2","Forb/herb","Forb/herb",1
"15302","HIGR3","Forb/herb","Forb/herb",1
"15303","HIHO","Forb/herb","Forb/herb",1
"15304","HIKA2","Forb/herb","Forb/herb",1
"15305","HIKAF","Forb/herb","Forb/herb",1
"15306","HIKAK2","Forb/herb","Forb/herb",1
"15307","HIKAS2","Forb/herb","Forb/herb",1
"15308","HILA8","Forb/herb","Forb/herb",1
"15309","HILA10","Forb/herb","Forb/herb",1
"15310","HILA4","Forb/herb","Forb/herb",1
"15311","HILE2","Forb/herb","Forb/herb",1
"15312","HILO","Forb/herb","Forb/herb",1
"15313","HILO2","Forb/herb","Forb/herb",1
"15314","HIMA3","Forb/herb","Forb/herb",1
"15315","HIMA10","Forb/herb","Forb/herb",1
"15316","HIME","Forb/herb","Forb/herb",1
"15317","HIMU","Forb/herb","Forb/herb",1
"15318","HIPA2","Forb/herb","Forb/herb",1
"15319","HIPI","Forb/herb","Forb/herb",1
"15320","HIPIN","Forb/herb","Forb/herb",1
"15321","HIPIP","Forb/herb","Forb/herb",1
"15322","HIPI2","Forb/herb","Forb/herb",1
"15323","HIPR3","Forb/herb","Forb/herb",1
"15324","HIPRD","Forb/herb","Forb/herb",1
"15325","HIPR2","Forb/herb","Forb/herb",1
"15326","HIRO4","Forb/herb","Forb/herb",1
"15327","HIRU","Forb/herb","Forb/herb",1
"15328","HISA4","Forb/herb","Forb/herb",1
"15329","HISC","Forb/herb","Forb/herb",1
"15330","HISCI","Forb/herb","Forb/herb",1
"15331","HISCS","Forb/herb","Forb/herb",1
"15332","HISCT","Forb/herb","Forb/herb",1
"15333","HISC10","Forb/herb, Subshrub","Forb/herb",1
"15334","HISC2","Forb/herb","Forb/herb",1
"15335","HISCA","Forb/herb","Forb/herb",1
"15336","HISCN","Forb/herb","Forb/herb",1
"15337","HISCS2","Forb/herb","Forb/herb",1
"15338","HISC11","Forb/herb","Forb/herb",1
"15339","HITR2","Forb/herb","Forb/herb",1
"15340","HITRF","Forb/herb","Forb/herb",1
"15341","HITRT2","Forb/herb","Forb/herb",1
"15342","HIUM","Forb/herb","Forb/herb",1
"15343","HIVE","Forb/herb","Forb/herb",1
"15356","HISA","Forb/herb","Forb/herb",1
"15358","HIPU","Forb/herb","Forb/herb",1
"15359","HIST7","Forb/herb","Forb/herb",1
"15361","HILO3","Forb/herb","Forb/herb",1
"15365","HICO3","Forb/herb","Forb/herb",1
"15369","HILA","Forb/herb","Forb/herb",1
"15370","HIMO2","Forb/herb","Forb/herb",1
"15371","HITE","Forb/herb","Forb/herb",1
"15372","HIVU2","Forb/herb","Forb/herb",1
"15374","HIIN3","Forb/herb","Forb/herb",1
"15376","HODR","Forb/herb, Subshrub","Forb/herb",1
"15378","HOGL2","Subshrub, Forb/herb","Forb/herb",1
"15380","HOOX","Subshrub, Forb/herb","Forb/herb",1
"15381","HORE","Forb/herb","Forb/herb",1
"15382","HOTE","Subshrub, Forb/herb","Forb/herb",1
"15386","HOMA4","Forb/herb","Forb/herb",1
"15387","HOOR","Forb/herb","Forb/herb",1
"15388","HOST3","Forb/herb","Forb/herb",1
"15395","HOLA2","Forb/herb","Forb/herb",1
"15397","HOPE2","Forb/herb","Forb/herb",1
"15401","HOHE","Forb/herb","Forb/herb",1
"15402","HOMA","Forb/herb","Forb/herb",1
"15403","HOOB","Forb/herb","Forb/herb",1
"15404","HOOBA","Forb/herb","Forb/herb",1
"15405","HOOBO","Forb/herb","Forb/herb",1
"15406","HOVI","Forb/herb","Forb/herb",1
"15407","HOVIE","Forb/herb","Forb/herb",1
"15408","HOVIV","Forb/herb","Forb/herb",1
"15413","HOUM","Forb/herb","Forb/herb",1
"15415","HOFI","Forb/herb","Forb/herb",1
"15419","HOPE","Forb/herb","Forb/herb",1
"15420","HOPED","Forb/herb","Forb/herb",1
"15421","HOPEM2","Forb/herb","Forb/herb",1
"15422","HOPER2","Forb/herb","Forb/herb",1
"15444","HOBO2","Forb/herb","Forb/herb",1
"15445","HOCA3","Forb/herb","Forb/herb",1
"15446","HOCAC","Forb/herb","Forb/herb",1
"15447","HOCAD","Forb/herb","Forb/herb",1
"15448","HOCAF2","Forb/herb","Forb/herb",1
"15449","HOCL","Forb/herb","Forb/herb",1
"15450","HOCO","Forb/herb","Forb/herb",1
"15451","HOCOC","Forb/herb","Forb/herb",1
"15452","HOCON","Forb/herb","Forb/herb",1
"15453","HOCU","Forb/herb","Forb/herb",1
"15454","HOCUC","Forb/herb","Forb/herb",1
"15455","HOCUP","Forb/herb","Forb/herb",1
"15456","HOCUS","Forb/herb","Forb/herb",1
"15457","HODA","Forb/herb","Forb/herb",1
"15458","HODAD","Forb/herb","Forb/herb",1
"15459","HODAL","Forb/herb","Forb/herb",1
"15460","HOFU","Forb/herb","Forb/herb",1
"15461","HOFUC2","Forb/herb","Forb/herb",1
"15462","HOFUF","Forb/herb","Forb/herb",1
"15463","HOFUF2","Forb/herb","Forb/herb",1
"15464","HOFUP2","Forb/herb","Forb/herb",1
"15465","HOFUP3","Forb/herb","Forb/herb",1
"15466","HOFUT","Forb/herb","Forb/herb",1
"15467","HOHE2","Forb/herb","Forb/herb",1
"15468","HOHI","Forb/herb","Forb/herb",1
"15469","HOMA3","Forb/herb","Forb/herb",1
"15470","HOPA2","Forb/herb","Forb/herb",1
"15471","HORY","Forb/herb","Forb/herb",1
"15472","HOSE","Forb/herb","Forb/herb",1
"15473","HOTE2","Forb/herb","Forb/herb",1
"15474","HOTR","Forb/herb","Forb/herb",1
"15475","HOTRF","Forb/herb","Forb/herb",1
"15476","HOTRT","Forb/herb","Forb/herb",1
"15477","HOTR2","Forb/herb","Forb/herb",1
"15478","HOTU","Forb/herb","Forb/herb",1
"15479","HOWI","Forb/herb","Forb/herb",1
"15480","HOYA2","Forb/herb","Forb/herb",1
"15482","HOCO5","Forb/herb","Forb/herb",1
"15483","HOPU8","Forb/herb","Forb/herb",1
"15485","HOPR4","Forb/herb","Forb/herb",1
"15490","HOLA3","Forb/herb","Forb/herb",1
"15491","HOPL2","Forb/herb","Forb/herb",1
"15492","HOVE","Forb/herb","Forb/herb",1
"15494","HOIN","Forb/herb","Forb/herb",1
"15496","HOAC","Subshrub, Forb/herb","Forb/herb",1
"15497","HOACA2","Forb/herb, Subshrub","Forb/herb",1
"15498","HOACP2","Forb/herb, Subshrub","Forb/herb",1
"15499","HOCA4","Forb/herb","Forb/herb",1
"15500","HOCA5","Forb/herb","Forb/herb",1
"15501","HOCO2","Forb/herb","Forb/herb",1
"15502","HOCR","Forb/herb","Forb/herb",1
"15503","HOHU","Forb/herb","Forb/herb",1
"15504","HOLO","Forb/herb","Forb/herb",1
"15505","HOMI4","Forb/herb","Forb/herb",1
"15506","HOOU","Forb/herb","Forb/herb",1
"15507","HOPA3","Forb/herb","Forb/herb",1
"15508","HOPR","Forb/herb","Forb/herb",1
"15509","HOPU2","Forb/herb","Forb/herb",1
"15510","HOPUC","Forb/herb","Forb/herb",1
"15511","HOPUM","Forb/herb","Forb/herb",1
"15512","HOPUP3","Forb/herb","Forb/herb",1
"15513","HOPU3","Forb/herb","Forb/herb",1
"15514","HORO","Forb/herb","Forb/herb",1
"15515","HORU","Forb/herb","Forb/herb",1
"15516","HOSE2","Forb/herb","Forb/herb",1
"15517","HOSU","Forb/herb","Forb/herb",1
"15518","HOWR","Forb/herb","Forb/herb",1
"15520","HOCO3","Forb/herb","Forb/herb",1
"15523","HOWEL3","Forb/herb","Forb/herb",1
"15524","HODA2","Forb/herb","Forb/herb",1
"15526","HOAQ","Forb/herb","Forb/herb",1
"15528","HOOV","Forb/herb","Forb/herb",1
"15538","HUAL","Forb/herb","Forb/herb",1
"15539","HUBR","Forb/herb","Forb/herb",1
"15540","HUCA","Forb/herb","Forb/herb",1
"15541","HUHE","Forb/herb","Forb/herb",1
"15542","HUME","Forb/herb","Forb/herb",1
"15543","HUNA","Forb/herb","Forb/herb",1
"15544","HUVE","Forb/herb","Forb/herb",1
"15545","HUVEC","Forb/herb","Forb/herb",1
"15546","HUVEG","Forb/herb","Forb/herb",1
"15547","HUVEI","Forb/herb","Forb/herb",1
"15548","HUVEP","Forb/herb","Forb/herb",1
"15549","HUVEP2","Forb/herb","Forb/herb",1
"15550","HUVEV","Forb/herb","Forb/herb",1
"15552","HUIN3","Forb/herb","Forb/herb",1
"15554","HUJA","Vine, Forb/herb","Forb/herb",1
"15555","HULU","Vine, Forb/herb","Forb/herb",1
"15556","HULUL","Vine, Forb/herb","Forb/herb",1
"15557","HULUL2","Vine, Forb/herb","Forb/herb",1
"15558","HULUN","Vine, Forb/herb","Forb/herb",1
"15559","HULUP","Vine, Forb/herb","Forb/herb",1
"15561","HUFU","Subshrub, Forb/herb","Forb/herb",1
"15563","HUTE2","Subshrub, Forb/herb","Forb/herb",1
"15565","HUAP","Forb/herb, Subshrub","Forb/herb",1
"15566","HUBA","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15567","HUBU","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15568","HUCA6","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15569","HUDI","Subshrub, Forb/herb","Forb/herb",1
"15570","HUER4","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15571","HUER2","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15572","HUFI","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15573","HUGI","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15574","HUHA","Subshrub, Forb/herb","Forb/herb",1
"15575","HUKO","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15576","HULU2","Subshrub, Forb/herb","Forb/herb",1
"15577","HUMA","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15578","HUME3","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15579","HUMI","Subshrub, Forb/herb","Forb/herb",1
"15580","HUNU","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15581","HUOC","Subshrub, Forb/herb","Forb/herb",1
"15582","HUPH","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15583","HUPO","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15584","HUPO2","Subshrub, Forb/herb","Forb/herb",1
"15585","HUSE","Subshrub, Forb/herb","Forb/herb",1
"15586","HUSED","Subshrub, Forb/herb","Forb/herb",1
"15587","HUSES","Subshrub, Forb/herb","Forb/herb",1
"15588","HUSE2","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15589","HUSO3","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15590","HUST","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15591","HUSU4","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15592","HUSU3","Forb/herb, Shrub, Subshrub","Forb/herb",1
"15596","HYHI5","Forb/herb","Forb/herb",1
"15597","HYMA4","Forb/herb","Forb/herb",1
"15598","HYNO","Forb/herb","Forb/herb",1
"15600","HYOR","Forb/herb","Forb/herb",1
"15602","HYAT","Forb/herb","Forb/herb",1
"15603","HYCO6","Forb/herb","Forb/herb",1
"15604","HYLI3","Forb/herb","Forb/herb",1
"15605","HYPA15","Forb/herb, Subshrub","Forb/herb",1
"15606","HYVE","Forb/herb","Forb/herb",1
"15614","HYCA","Forb/herb","Forb/herb",1
"15616","HYVE3","Forb/herb","Forb/herb",1
"15618","HYMO6","Forb/herb","Forb/herb",1
"15620","HYNY","Forb/herb","Forb/herb",1
"15622","HYAM","Forb/herb","Forb/herb",1
"15623","HYBO","Forb/herb","Forb/herb",1
"15624","HYBO3","Forb/herb","Forb/herb",1
"15625","HYMO4","Forb/herb","Forb/herb",1
"15626","HYPR10","Forb/herb","Forb/herb",1
"15627","HYRA","Forb/herb","Forb/herb",1
"15628","HYSI","Forb/herb","Forb/herb",1
"15629","HYUM","Forb/herb","Forb/herb",1
"15630","HYVE2","Forb/herb","Forb/herb",1
"15631","HYVEF","Forb/herb","Forb/herb",1
"15632","HYVEV","Forb/herb","Forb/herb",1
"15634","HYCO7","Forb/herb","Forb/herb",1
"15635","HYOV","Forb/herb","Forb/herb",1
"15636","HYQU","Forb/herb","Forb/herb",1
"15637","HYSP","Forb/herb","Forb/herb",1
"15638","HYUN","Forb/herb","Forb/herb",1
"15640","HYAP","Forb/herb","Forb/herb",1
"15641","HYBR11","Forb/herb","Forb/herb",1
"15642","HYCA3","Forb/herb","Forb/herb",1
"15643","HYCA4","Forb/herb","Forb/herb",1
"15644","HYCAA","Forb/herb","Forb/herb",1
"15645","HYCAC","Forb/herb","Forb/herb",1
"15646","HYCAT","Forb/herb","Forb/herb",1
"15647","HYFE","Forb/herb","Forb/herb",1
"15648","HYFEA","Forb/herb","Forb/herb",1
"15649","HYFEF","Forb/herb","Forb/herb",1
"15650","HYMA","Forb/herb","Forb/herb",1
"15651","HYOC","Forb/herb","Forb/herb",1
"15652","HYTE","Forb/herb","Forb/herb",1
"15653","HYVI","Forb/herb","Forb/herb",1
"15654","HYVIA","Forb/herb","Forb/herb",1
"15655","HYVIV","Forb/herb","Forb/herb",1
"15657","HYCO8","Forb/herb","Forb/herb",1
"15658","HYCO9","Forb/herb","Forb/herb",1
"15659","HYDI7","Forb/herb","Forb/herb",1
"15660","HYLA","Forb/herb","Forb/herb",1
"15661","HYPO3","Forb/herb","Forb/herb",1
"15668","HYER3","Forb/herb","Forb/herb",1
"15669","HYSP9","Forb/herb","Forb/herb",1
"15670","HYTE9","Forb/herb","Forb/herb",1
"15671","HYTE10","Forb/herb","Forb/herb",1
"15672","HYTEF","Forb/herb","Forb/herb",1
"15673","HYTET2","Forb/herb","Forb/herb",1
"15677","HYCH","Forb/herb","Forb/herb",1
"15678","HYCO5","Forb/herb","Forb/herb",1
"15679","HYCR","Forb/herb","Forb/herb",1
"15680","HYDU","Forb/herb","Forb/herb",1
"15681","HYFR4","Forb/herb","Forb/herb",1
"15682","HYGH","Forb/herb","Forb/herb",1
"15683","HYGO2","Forb/herb","Forb/herb",1
"15685","HYHEG","Forb/herb","Forb/herb",1
"15686","HYHEH","Forb/herb","Forb/herb",1
"15687","HYLA5","Forb/herb","Forb/herb",1
"15688","HYLI","Forb/herb","Forb/herb",1
"15689","HYLI8","Forb/herb","Forb/herb",1
"15690","HYOC2","Forb/herb","Forb/herb",1
"15691","HYOCE","Forb/herb","Forb/herb",1
"15692","HYOCO","Forb/herb","Forb/herb",1
"15693","HYPA4","Forb/herb","Forb/herb",1
"15694","HYPU10","Forb/herb","Forb/herb",1
"15695","HYPY2","Forb/herb","Forb/herb",1
"15696","HYRO2","Forb/herb","Forb/herb",1
"15697","HYTR4","Forb/herb","Forb/herb",1
"15706","HYAR3","Forb/herb","Forb/herb",1
"15707","HYARA","Forb/herb","Forb/herb",1
"15708","HYARR2","Forb/herb","Forb/herb",1
"15709","HYBI","Forb/herb","Forb/herb",1
"15710","HYCA18","Forb/herb","Forb/herb",1
"15711","HYFI","Subshrub, Forb/herb","Forb/herb",1
"15712","HYFIC","Subshrub, Forb/herb","Forb/herb",1
"15713","HYFIE","Subshrub, Forb/herb","Forb/herb",1
"15714","HYFIF","Subshrub, Forb/herb","Forb/herb",1
"15715","HYFII","Subshrub, Forb/herb","Forb/herb",1
"15716","HYFIL","Subshrub, Forb/herb","Forb/herb",1
"15717","HYFIL2","Subshrub, Forb/herb","Forb/herb",1
"15718","HYFIM","Subshrub, Forb/herb","Forb/herb",1
"15719","HYFIN","Subshrub, Forb/herb","Forb/herb",1
"15720","HYFIN2","Subshrub, Forb/herb","Forb/herb",1
"15721","HYFIP2","Subshrub, Forb/herb","Forb/herb",1
"15722","HYFIP","Subshrub, Forb/herb","Forb/herb",1
"15723","HYFIP3","Subshrub, Forb/herb","Forb/herb",1
"15724","HYFIT","Subshrub, Forb/herb","Forb/herb",1
"15725","HYFL","Forb/herb","Forb/herb",1
"15726","HYFLC","Forb/herb","Forb/herb",1
"15727","HYFLF","Forb/herb","Forb/herb",1
"15728","HYME","Forb/herb","Forb/herb",1
"15729","HYNE","Forb/herb","Forb/herb",1
"15730","HYRA2","Forb/herb","Forb/herb",1
"15731","HYSC","Forb/herb","Forb/herb",1
"15732","HYSCC","Forb/herb","Forb/herb",1
"15733","HYSCS","Forb/herb","Forb/herb",1
"15734","HYTE2","Forb/herb","Forb/herb",1
"15736","HYLA2","Forb/herb","Forb/herb",1
"15737","HYOB","Forb/herb","Forb/herb",1
"15738","HYRE","Forb/herb","Forb/herb",1
"15739","HYTA3","Forb/herb","Forb/herb",1
"15740","HYTU2","Forb/herb","Forb/herb",1
"15741","HYWR2","Forb/herb","Forb/herb",1
"15743","HYLO","Forb/herb","Forb/herb",1
"15744","HYWI","Forb/herb","Forb/herb",1
"15745","HYWR","Forb/herb","Forb/herb",1
"15747","HYAM8","Forb/herb","Forb/herb",1
"15748","HYAMA","Forb/herb","Forb/herb",1
"15749","HYAMF","Forb/herb","Forb/herb",1
"15750","HYAMN","Forb/herb","Forb/herb",1
"15751","HYAN","Forb/herb","Forb/herb",1
"15752","HYBI2","Subshrub, Forb/herb","Forb/herb",1
"15753","HYBR7","Forb/herb","Forb/herb",1
"15754","HYCO2","Forb/herb","Forb/herb",1
"15755","HYCOC","Forb/herb","Forb/herb",1
"15756","HYCOC2","Forb/herb","Forb/herb",1
"15757","HYHE","Subshrub, Forb/herb","Forb/herb",1
"15758","HYHO","Forb/herb","Forb/herb",1
"15759","HYJA","Forb/herb","Forb/herb",1
"15760","HYLA7","Forb/herb","Forb/herb",1
"15761","HYLE","Forb/herb","Forb/herb",1
"15762","HYOD","Forb/herb","Forb/herb",1
"15763","HYPE2","Forb/herb","Forb/herb",1
"15764","HYQU2","Forb/herb","Forb/herb",1
"15765","HYRI","Subshrub, Forb/herb","Forb/herb",1
"15766","HYRIF","Subshrub, Forb/herb","Forb/herb",1
"15767","HYRIR","Subshrub, Forb/herb","Forb/herb",1
"15768","HYRU","Forb/herb","Forb/herb",1
"15769","HYSU","Forb/herb","Forb/herb",1
"15770","HYTE5","Forb/herb","Forb/herb",1
"15771","HYVA","Forb/herb","Forb/herb",1
"15775","HYAL2","Forb/herb","Forb/herb",1
"15776","HYNI","Forb/herb","Forb/herb",1
"15782","HYIM","Forb/herb","Forb/herb",1
"15783","HYPE8","Forb/herb","Forb/herb",1
"15787","HYAD","Forb/herb","Forb/herb",1
"15788","HYAN2","Forb/herb","Forb/herb",1
"15790","HYAS80","Forb/herb","Forb/herb",1
"15791","HYBO2","Forb/herb","Forb/herb",1
"15792","HYBR3","Forb/herb, Shrub","Forb/herb",1
"15795","HYCA7","Forb/herb","Forb/herb",1
"15798","HYCI","Subshrub, Shrub, Forb/herb","Forb/herb",1
"15799","HYCO3","Subshrub, Forb/herb","Forb/herb",1
"15801","HYCU","Forb/herb","Forb/herb",1
"15803","HYDE2","Forb/herb","Forb/herb",1
"15804","HYDI2","Forb/herb","Forb/herb",1
"15805","HYDO","Forb/herb","Forb/herb",1
"15806","HYDR","Forb/herb","Forb/herb",1
"15808","HYEL","Forb/herb","Forb/herb",1
"15809","HYER4","Forb/herb","Forb/herb",1
"15814","HYGE","Forb/herb","Forb/herb",1
"15815","HYGR2","Forb/herb","Forb/herb",1
"15816","HYGR3","Forb/herb","Forb/herb",1
"15817","HYGY","Forb/herb","Forb/herb",1
"15818","HYHA","Forb/herb","Forb/herb",1
"15820","HYHU2","Forb/herb","Forb/herb",1
"15828","HYMA2","Forb/herb","Forb/herb",1
"15830","HYMI","Forb/herb","Forb/herb",1
"15832","HYMU","Forb/herb","Forb/herb",1
"15836","HYPA6","Forb/herb","Forb/herb",1
"15837","HYPA2","Subshrub, Forb/herb","Forb/herb",1
"15838","HYPE","Forb/herb","Forb/herb",1
"15840","HYPS","Forb/herb","Forb/herb",1
"15841","HYPU","Forb/herb","Forb/herb",1
"15842","HYRA4","Forb/herb","Forb/herb",1
"15843","HYSC5","Forb/herb","Forb/herb",1
"15844","HYSCN","Forb/herb","Forb/herb",1
"15845","HYSCS2","Forb/herb","Forb/herb",1
"15846","HYSE","Forb/herb","Forb/herb",1
"15847","HYSP2","Subshrub, Forb/herb","Forb/herb",1
"15851","HYVI6","Forb/herb","Forb/herb",1
"15855","HYBR5","Forb/herb","Forb/herb",1
"15856","HYBRT2","Forb/herb","Forb/herb",1
"15857","HYGL2","Forb/herb","Forb/herb",1
"15858","HYMI5","Forb/herb","Forb/herb",1
"15859","HYMIA","Forb/herb","Forb/herb",1
"15860","HYRA3","Forb/herb","Forb/herb",1
"15862","HYPH2","Forb/herb","Forb/herb",1
"15866","HYHA71","Forb/herb","Forb/herb",1
"15867","HYRE2","Forb/herb","Forb/herb",1
"15869","HYCU5","Forb/herb","Forb/herb",1
"15870","HYHI2","Forb/herb","Forb/herb",1
"15871","HYJU","Forb/herb","Forb/herb",1
"15872","HYME2","Forb/herb","Forb/herb",1
"15873","HYRI2","Forb/herb","Forb/herb",1
"15874","HYSE2","Forb/herb","Forb/herb",1
"15875","HYWR3","Forb/herb","Forb/herb",1
"15877","HYAL","Forb/herb","Forb/herb",1
"15878","HYCA12","Forb/herb, Subshrub","Forb/herb",1
"15880","HYMU2","Forb/herb","Forb/herb",1
"15881","HYPE3","Forb/herb, Subshrub","Forb/herb",1
"15882","HYSP4","Subshrub, Forb/herb","Forb/herb",1
"15883","HYSU3","Forb/herb, Subshrub, Vine","Forb/herb",1
"15884","HYVE4","Subshrub, Forb/herb","Forb/herb",1
"15886","HYOF","Subshrub, Forb/herb","Forb/herb",1
"15888","IBAM","Forb/herb","Forb/herb",1
"15889","IBCA2","Forb/herb","Forb/herb",1
"15890","IBGI","Forb/herb","Forb/herb",1
"15891","IBSE","Subshrub, Forb/herb","Forb/herb",1
"15892","IBUM","Forb/herb","Forb/herb",1
"15894","IBLI","Vine, Forb/herb","Forb/herb",1
"15895","IBTE2","Vine, Forb/herb","Forb/herb",1
"15897","IBLU","Forb/herb","Forb/herb",1
"15899","IDSC","Forb/herb","Forb/herb",1
"15932","ILBA","Forb/herb","Forb/herb",1
"15933","ILCR","Forb/herb","Forb/herb",1
"15934","ILGR","Forb/herb","Forb/herb",1
"15935","ILLA2","Forb/herb","Forb/herb",1
"15936","ILLO2","Forb/herb","Forb/herb",1
"15937","ILRI","Subshrub, Forb/herb","Forb/herb",1
"15938","ILRID","Subshrub, Forb/herb","Forb/herb",1
"15939","ILRIR","Subshrub, Forb/herb","Forb/herb",1
"15941","ILVE3","Forb/herb","Forb/herb",1
"15946","IMAU","Forb/herb","Forb/herb",1
"15947","IMBA2","Forb/herb","Forb/herb",1
"15948","IMBA","Forb/herb","Forb/herb",1
"15949","IMCA","Forb/herb","Forb/herb",1
"15950","IMEC2","Forb/herb","Forb/herb",1
"15951","IMGL","Forb/herb","Forb/herb",1
"15952","IMNO","Forb/herb","Forb/herb",1
"15953","IMPA","Forb/herb","Forb/herb",1
"15955","IMWA","Forb/herb","Forb/herb",1
"15961","INCA","Forb/herb","Forb/herb",1
"15962","INCO82","Forb/herb","Forb/herb",1
"15964","INHE3","Forb/herb","Forb/herb",1
"15965","INHI","Subshrub, Forb/herb","Forb/herb",1
"15967","INLI","Subshrub, Forb/herb","Forb/herb",1
"15968","INMI","Forb/herb","Forb/herb",1
"15969","INOX","Forb/herb","Forb/herb",1
"15970","INPA","Forb/herb","Forb/herb",1
"15971","INPI","Forb/herb","Forb/herb",1
"15973","INSU","Subshrub, Forb/herb","Forb/herb",1
"15975","INTR2","Subshrub, Forb/herb","Forb/herb",1
"15977","INBR","Forb/herb","Forb/herb",1
"15978","INHE","Forb/herb","Forb/herb",1
"15979","INSA","Forb/herb","Forb/herb",1
"15981","IOPI","Forb/herb","Forb/herb",1
"15983","IOAL","Subshrub, Forb/herb","Forb/herb",1
"15984","IOCA2","Forb/herb","Forb/herb",1
"15985","IOEL","Forb/herb","Forb/herb",1
"15986","IOLI2","Forb/herb","Forb/herb",1
"15987","IOST","Forb/herb","Forb/herb",1
"15989","IOAC2","Forb/herb","Forb/herb",1
"15991","IOUT","Forb/herb","Forb/herb",1
"15993","IPAL","Vine, Forb/herb","Forb/herb",1
"15994","IPAM","Vine, Forb/herb","Forb/herb",1
"15995","IPAQ","Vine, Forb/herb","Forb/herb",1
"15996","IPAS","Forb/herb","Forb/herb",1
"15997","IPBA","Vine, Forb/herb","Forb/herb",1
"15998","IPBA2","Vine, Forb/herb","Forb/herb",1
